,NMDS1,NMDS2,Lake,Year,FishStatus,,,,,,,,,,,,
Big66,-1.397905495,-0.316693548,Bighorn,1966,Stocked,,,,,,,,,,,,
Big68,0.385921649,-0.077539766,Bighorn,1968,Stocked,,,,,,,,,,,,
Big71,2.34885295,-0.301094749,Bighorn,1971,Stocked,,,,,,,,,,,,
Big72,0.989944236,-1.519791899,Bighorn,1972,Stocked,,,,-1.397905495,max,2.34885295,,-0.316693548,max,1.570785101,,
Big77,0.963070981,-1.130511983,Bighorn,1977,Stocked,,,,0.385921649,min,-1.397905495,,-0.077539766,min,-1.519791899,,
Big91,0.763794947,-0.440611023,Bighorn,1991,Stocked,,,,2.34885295,,,,-0.301094749,,,,
Big92,0.456494476,-0.395237233,Bighorn,1992,Stocked,,,,0.989944236,,,,-1.519791899,,,,
Big94,0.964156675,-0.054396769,Bighorn,1994,Stocked,,,,0.963070981,,,,-1.130511983,,,,
Big95,1.204777094,0.01234594,Bighorn,1995,Stocked,,,,0.763794947,,,,-0.440611023,,,,
Big96,0.956178655,1.176124308,Bighorn,1996,Decline,,,,0.456494476,,,,-0.395237233,,,,
Big97,1.215125842,0.096192091,Bighorn,1997,Decline,,,,0.964156675,,,,-0.054396769,,,,
Big98,0.388298513,0.703048279,Bighorn,1998,Decline,,,,1.204777094,,,,0.01234594,,,,
Big99,0.27319709,0.517174463,Bighorn,1999,Decline,,,,0.956178655,,,,1.176124308,,,,
Big00,-0.05461902,0.91650783,Bighorn,2000,Decline,,,,1.215125842,,,,0.096192091,,,,
Big01,0.117374514,0.702825199,Bighorn,2001,Decline,,,,0.388298513,,,,0.703048279,,,,
Big02,0.019662249,0.743614594,Bighorn,2002,Absent,,,,0.27319709,,,,0.517174463,,,,
Big03,0.219060747,0.652629983,Bighorn,2003,Absent,,,,-0.05461902,,,,0.91650783,,,,
Big04,0.221557974,0.428693074,Bighorn,2004,Absent,,,,0.117374514,,,,0.702825199,,,,
Big05,-0.349247064,0.789985628,Bighorn,2005,Absent,,,,0.019662249,,,,0.743614594,,,,
Big06,-0.330544777,0.611661788,Bighorn,2006,Absent,,,,0.219060747,,,,0.652629983,,,,
Big09,-0.639114001,0.602278301,Bighorn,2009,Absent,,,,0.221557974,,,,0.428693074,,,,
Big13,-0.361875462,0.791472355,Bighorn,2013,Absent,,,,-0.349247064,,,,0.789985628,,,,
Big22,-0.780296968,0.353349141,Bighorn,2022,Absent,,,,-0.330544777,,,,0.611661788,,,,
Har66,2.16491951,0.105969732,Harrison,1966,Stocked,,,,-0.639114001,,,,0.602278301,,,,
Har67,2.195417127,0.087685081,Harrison,1967,Stocked,,,,-0.361875462,,,,0.791472355,,,,
Har72,2.157479507,0.21110388,Harrison,1972,Stocked,,,,-0.780296968,,,,0.353349141,,,,
Har77,1.598556867,-0.082411952,Harrison,1977,Stocked,,,,2.16491951,,,,0.105969732,,,,
Har96,1.376757611,0.545956097,Harrison,1996,Stocked,,,,2.195417127,,,,0.087685081,,,,
Har97,1.275950409,0.494663306,Harrison,1997,Stocked,,,,2.157479507,,,,0.21110388,,,,
Har98,1.334319956,0.617475144,Harrison,1998,Stocked,,,,1.598556867,,,,-0.082411952,,,,
Har99,1.374607056,0.659508076,Harrison,1999,Stocked,,,,1.376757611,,,,0.545956097,,,,
Har01,1.229193219,0.707769073,Harrison,2001,Stocked,,,,1.275950409,,,,0.494663306,,,,
Har02,1.06008895,0.603838653,Harrison,2002,Stocked,,,,1.334319956,,,,0.617475144,,,,
Har03,1.348256869,0.923977362,Harrison,2003,Stocked,,,,1.374607056,,,,0.659508076,,,,
Har04,1.300817043,0.881307443,Harrison,2004,Stocked,,,,1.229193219,,,,0.707769073,,,,
Har05,1.361727081,0.791877262,Harrison,2005,Stocked,,,,1.06008895,,,,0.603838653,,,,
Har06,1.27264069,1.096569001,Harrison,2006,Stocked,,,,1.348256869,,,,0.923977362,,,,
Har09,1.297745046,1.017220152,Harrison,2009,Stocked,,,,1.300817043,,,,0.881307443,,,,
Har15,0.8682229,1.570785101,Harrison,2015,Stocked,,,,1.361727081,,,,0.791877262,,,,
Har22,1.118365678,0.995770271,Harrison,2022,Stocked,,,,1.27264069,,,,1.096569001,,,,
Pip66,-0.833688157,0.268060868,Pipit,1966,Stocked,,,,1.297745046,,,,1.017220152,,,,
Pip67,-0.227278627,-1.017244268,Pipit,1967,Stocked,,,,0.8682229,,,,1.570785101,,,,
Pip68,0.989944236,-1.519791899,Pipit,1968,Stocked,,,,1.118365678,,,,0.995770271,,,,
Pip69,0.989944236,-1.519791899,Pipit,1969,Stocked,,,,-0.833688157,,,,0.268060868,,,,
Pip71,1.262504361,-1.319554776,Pipit,1971,Stocked,,,,-0.227278627,,,,-1.017244268,,,,
Pip72,0.989944236,-1.519791899,Pipit,1972,Stocked,,,,0.989944236,,,,-1.519791899,,,,
Pip77,0.787853583,-1.329363435,Pipit,1977,Decline,,,,0.989944236,,,,-1.519791899,,,,
