Lake,Year,Fish.Status,Yr.mass,Lake.Order
Bighorn,1966,Present,3.300325313,1
Bighorn,1968,Present,0.251617921,1
Bighorn,1971,Present,0.046644269,1
Bighorn,1972,Present,0.233039501,1
Bighorn,1977,Present,0.728321059,1
Bighorn,1991,Present,0.085502537,1
Bighorn,1992,Present,0.073526734,1
Bighorn,1994,Present,2.241316776,1
Bighorn,1995,Present,0.759949308,1
Bighorn,1996,Decline,4.974847841,1
Bighorn,1997,Decline,2.204869222,1
Bighorn,1998,Decline,20.30913784,1
Bighorn,1999,Decline,5.955912832,1
Bighorn,2000,Decline,18.21861292,1
Bighorn,2001,Decline,26.43229049,1
Bighorn,2002,Absent,27.42244703,1
Bighorn,2003,Absent,6.669714134,1
Bighorn,2004,Absent,7.702819287,1
Bighorn,2005,Absent,14.39091603,1
Bighorn,2006,Absent,38.33690356,1
Bighorn,2009,Absent,6.493365438,1
Bighorn,2013,Absent,4.771662757,1
Bighorn,2022,Absent,315.1646199,1
Snowflake,1966,Present,2.529080472,2
Snowflake,1967,Present,18.23640439,2
Snowflake,1968,Present,19.75003026,2
Snowflake,1969,Present,24.73981845,2
Snowflake,1970,Present,21.02032243,2
Snowflake,1971,Present,86.64595646,2
Snowflake,1972,Present,165.259415,2
Snowflake,1973,Present,202.6367887,2
Snowflake,1974,Present,93.38563533,2
Snowflake,1975,Present,173.0847809,2
Snowflake,1977,Present,22.85262622,2
Snowflake,1979,Decline,1.68303428,2
Snowflake,1991,Decline,30.36268548,2
Snowflake,1992,Absent,17.36925671,2
Snowflake,1993,Absent,10.30758172,2
Snowflake,1994,Absent,14.23417386,2
Snowflake,1995,Absent,11.55600325,2
Snowflake,1996,Absent,22.54793789,2
Snowflake,1997,Absent,23.23842643,2
Snowflake,1998,Absent,23.02448694,2
Snowflake,1999,Absent,51.77341665,2
Snowflake,2000,Absent,50.10749663,2
Snowflake,2001,Absent,56.52868127,2
Snowflake,2002,Absent,141.0075444,2
Snowflake,2003,Absent,42.5570383,2
Snowflake,2004,Absent,59.77225483,2
Snowflake,2005,Absent,79.40877933,2
Snowflake,2006,Absent,66.35635243,2
Snowflake,2007,Absent,46.45867633,2
Snowflake,2008,Absent,58.6706741,2
Snowflake,2009,Absent,87.76624525,2
Snowflake,2013,Absent,62.55330089,2
Snowflake,2022,Absent,682.4158741,2
Pipit,1966,Present,17.0866555,3
Pipit,1967,Present,5.513514246,3
Pipit,1968,Present,0.055485596,3
Pipit,1969,Present,0.155359668,3
Pipit,1971,Present,0.033840348,3
Pipit,1972,Present,0.288525097,3
Pipit,1977,Decline,0.111187782,3
Pipit,1991,Decline,10.41940531,3
Pipit,1992,Absent,30.09316473,3
Pipit,1993,Absent,14.88479505,3
Pipit,1994,Absent,67.21210253,3
Pipit,1995,Absent,35.65896192,3
Pipit,1996,Absent,40.41410576,3
Pipit,1997,Absent,14.96590868,3
Pipit,1998,Absent,19.54068865,3
Pipit,1999,Absent,22.71175111,3
Pipit,2000,Absent,59.60620195,3
Pipit,2001,Absent,19.28493007,3
Pipit,2002,Absent,34.94196347,3
Pipit,2003,Absent,26.43467153,3
Pipit,2004,Absent,36.354773,3
Pipit,2005,Absent,15.88017778,3
Pipit,2006,Absent,24.08386397,3
Pipit,2007,Absent,10.16261767,3
Pipit,2008,Absent,34.8362678,3
Pipit,2009,Absent,4.678180048,3
Pipit,2013,Absent,4.263800154,3
Pipit,2022,Absent,212.3468103,3
Harrison,1966,Present,239.3439423,4
Harrison,1967,Present,258.5902653,4
Harrison,1972,Present,121.2687716,4
Harrison,1977,Present,150.7109455,4
Harrison,1996,Present,245.6991921,4
Harrison,1997,Present,69.79707713,4
Harrison,1998,Present,56.15031925,4
Harrison,1999,Present,55.35100395,4
Harrison,2001,Present,56.23859723,4
Harrison,2002,Present,100.4637223,4
Harrison,2003,Present,60.34006707,4
Harrison,2004,Present,88.2809498,4
Harrison,2005,Present,42.64771459,4
Harrison,2006,Present,60.5486896,4
Harrison,2009,Present,40.57849058,4
Harrison,2015,Present,9.011205209,4
Harrison,2022,Present,198.8954902,4
Eiffel,1975,Absent,73.35495971,5
Eiffel,2007,Absent,20.68981823,5
Eiffel,2008,Absent,202.1088907,5
Eiffel,2009,Absent,72.81149509,5
Eiffel,2010,Absent,158.5194378,5
Eiffel,2011,Absent,71.96566245,5
Eiffel,2012,Absent,20.89789639,5
Eiffel,2013,Absent,71.45907861,5
Eiffel,2018,Absent,26.1536976,5
Sentinel,1975,Absent,224.8459602,6
Sentinel,2007,Absent,21.24084592,6
Sentinel,2009,Absent,88.21866666,6
Sentinel,2010,Absent,178.6308256,6
Sentinel,2011,Absent,148.3125187,6
Sentinel,2012,Absent,95.45333646,6
Sentinel,2013,Absent,176.7047598,6
Sentinel,2018,Absent,98.30085622,6
Hungabee,2007,Absent,103.1720439,7
Hungabee,2008,Absent,61.13854565,7
Hungabee,2009,Absent,179.7699214,7
Hungabee,2010,Absent,57.86174704,7
Hungabee,2011,Absent,67.56198793,7
Hungabee,2012,Absent,45.18173969,7
Hungabee,2013,Absent,60.20963629,7
Hungabee,2017,Absent,11.97704243,7
Oesa,2006,Absent,51.25163969,8
Oesa,2007,Absent,12.79428638,8
Oesa,2008,Absent,71.99316143,8
Oesa,2009,Absent,36.95606422,8
Oesa,2010,Absent,25.02025245,8
Oesa,2011,Absent,50.54794128,8
Oesa,2012,Absent,4.744362671,8
Oesa,2013,Absent,25.86761135,8
Oesa,2018,Absent,17.77680505,8
Opabin,2006,Absent,14.23656658,9
Opabin,2007,Absent,18.38938877,9
Opabin,2008,Absent,21.8534189,9
Opabin,2009,Absent,15.30022432,9
Opabin,2010,Absent,38.07879825,9
Opabin,2011,Absent,10.63698014,9
Opabin,2012,Absent,18.99487087,9
Opabin,2013,Absent,72.81964717,9
Opabin,2018,Absent,47.85599254,9
