,Acan.vern,Alon.gutt,Chyd.spha,CYCLO,Daph.midd,Daph.pule,Diac.thom,EUCYC,Hesp.arct,Lept.tyrr,Macr.albi,M.Year.Total
Big66,0,0,0,0,0,0,0,0,3.300325313,0,0,3.300325313
Big68,0,0,0,0,0,0,0.122748076,0,0.128869846,0,0,0.251617921
Big71,0,0,0,0,0,0,0.046644269,0,0,0,0,0.046644269
Big72,0.233039501,0,0,0,0,0,0,0,0,0,0,0.233039501
Big77,0.388399169,0,0.000216591,0,0,0,0.339705299,0,0,0,0,0.728321059
Big91,0.005419966,0,0,0.020198496,0,0,0.001653839,0,0.058230236,0,0,0.085502537
Big92,0.000912049,0,1.22566E-05,0.007529188,0.007387868,0,0.003865848,0,0.050819101,0.003000424,0,0.073526734
Big94,0.083205824,0,0,2.088408659,0.038786285,0,0.008682651,0,0.022233355,0,0,2.241316776
Big95,0.009419528,0,0,0.75052978,0,0,0,0,0,0,0,0.759949308
Big96,0.001046615,0,0,4.973801227,0,0,0,0,0,0,0,4.974847841
Big97,0.044146185,0,0,1.556236929,0,0,0.604486108,0,0,0,0,2.204869222
Big98,0,0,0,7.295494069,6.826387229,0,6.187256542,0,0,0,0,20.30913784
Big99,0.016745826,0,0,0.798480093,4.303431356,0,0.837255557,0,0,0,0,5.955912832
Big00,0,0,0,0.272812423,16.96900235,0,0.97679815,0,0,0,0,18.21861292
Big01,0.005562007,0,0,1.648583391,22.8152046,0,1.962940484,0,0,0,0,26.43229049
Big02,0.001148285,0,1.1206E-05,1.251567351,25.86003928,0,0.276372892,0,0.032524234,0.000783783,0,27.42244703
Big03,0.001255937,0,0,1.442650433,4.36364245,0,0.831673854,0,0.03049146,0,0,6.669714134
Big04,0.017583117,0,1.28402E-05,1.361991588,5.441901331,0,0.487386099,0.000943235,0.393001079,0,0,7.702819287
Big05,0.000478452,0,0,0.025968193,13.21426364,0,0,0,1.150205741,0,0,14.39091603
Big06,0.005023747,0,1.86766E-05,0.014981155,29.29140703,0,0,0,9.025472956,0,0,38.33690356
Big09,0,0,0,0,2.878723429,0,0,0,3.614642009,0,0,6.493365438
Big13,0.000717678,0,0,0,4.344064608,0,0,0,0.426880471,0,0,4.771662757
Big22,0,0,0,0,39.89447083,0,0,0,275.2701491,0,0,315.1646199
Har66,0,0,0,0,0,9.165530602,230.1526417,0,0,0,0.025769989,239.3439423
Har67,0,0,0,0,0,7.958363157,250.5288222,0,0,0,0.103079958,258.5902653
Har72,0,0,0,0,0,23.07031117,98.19846045,0,0,0,0,121.2687716
Har77,0.388399169,0,0,0,0,32.4593913,117.8381525,0.025002507,0,0,0,150.7109455
Har96,0.089311073,0,0,76.65663082,0,48.54909955,120.0800877,0,0,0,0.324062906,245.6991921
Har97,0.089311073,0,0,43.39232211,0,9.782910621,16.51633018,0,0,0,0.016203149,69.79707713
Har98,0.026049063,0,0,14.72162278,0,29.99717766,11.36205175,0.000209607,0,0,0.043208387,56.15031925
Har99,0.004465554,0,0,21.55685631,0,19.6664946,14.12318749,0,0,0,0,55.35100395
