Lake,Year,Fish.Status,Yr.mass
Bighorn,1966,Present,3.300325313
Bighorn,1968,Present,0.251617921
Bighorn,1971,Present,0.046644269
Bighorn,1972,Present,0.233039501
Bighorn,1977,Present,0.728321059
Bighorn,1991,Present,0.085502537
Bighorn,1992,Present,0.073526734
Bighorn,1994,Present,2.241316776
Bighorn,1995,Present,0.759949308
Bighorn,1996,Decline,4.974847841
Bighorn,1997,Decline,2.204869222
Bighorn,1998,Decline,20.30913784
Bighorn,1999,Decline,5.955912832
Bighorn,2000,Decline,18.21861292
Bighorn,2001,Decline,26.43229049
Bighorn,2002,Absent,27.42244703
Bighorn,2003,Absent,6.669714134
Bighorn,2004,Absent,7.702819287
Bighorn,2005,Absent,14.39091603
Bighorn,2006,Absent,38.33690356
Bighorn,2009,Absent,6.493365438
Bighorn,2013,Absent,4.771662757
Bighorn,2022,Absent,315.1646199
Pipit,1966,Present,17.0866555
Pipit,1967,Present,5.513514246
Pipit,1968,Present,0.055485596
Pipit,1969,Present,0.155359668
Pipit,1971,Present,0.033840348
Pipit,1972,Present,0.288525097
Pipit,1977,Decline,0.111187782
Pipit,1991,Decline,10.41940531
Pipit,1992,Absent,30.09316473
Pipit,1993,Absent,14.88479505
Pipit,1994,Absent,67.21210253
Pipit,1995,Absent,35.65896192
Pipit,1996,Absent,40.41410576
Pipit,1997,Absent,14.96590868
Pipit,1998,Absent,19.54068865
Pipit,1999,Absent,22.71175111
Pipit,2000,Absent,59.60620195
Pipit,2001,Absent,19.28493007
Pipit,2002,Absent,34.94196347
Pipit,2003,Absent,26.43467153
Pipit,2004,Absent,36.354773
Pipit,2005,Absent,15.88017778
Pipit,2006,Absent,24.08386397
Pipit,2007,Absent,10.16261767
Pipit,2008,Absent,34.8362678
Pipit,2009,Absent,4.678180048
Pipit,2013,Absent,4.263800154
Pipit,2022,Absent,212.3468103
Snowflake,1966,Present,2.529080472
Snowflake,1967,Present,18.23640439
Snowflake,1968,Present,19.75003026
Snowflake,1969,Present,24.73981845
Snowflake,1970,Present,21.02032243
Snowflake,1971,Present,86.64595646
Snowflake,1972,Present,165.259415
Snowflake,1973,Present,202.6367887
Snowflake,1974,Present,93.38563533
Snowflake,1975,Present,173.0847809
Snowflake,1977,Present,22.85262622
Snowflake,1979,Decline,1.68303428
Snowflake,1991,Decline,30.36268548
Snowflake,1992,Absent,17.36925671
Snowflake,1993,Absent,10.30758172
Snowflake,1994,Absent,14.23417386
Snowflake,1995,Absent,11.55600325
Snowflake,1996,Absent,22.54793789
Snowflake,1997,Absent,23.23842643
Snowflake,1998,Absent,23.02448694
Snowflake,1999,Absent,51.77341665
Snowflake,2000,Absent,50.10749663
Snowflake,2001,Absent,56.52868127
Snowflake,2002,Absent,141.0075444
Snowflake,2003,Absent,42.5570383
Snowflake,2004,Absent,59.77225483
Snowflake,2005,Absent,79.40877933
Snowflake,2006,Absent,66.35635243
Snowflake,2007,Absent,46.45867633
Snowflake,2008,Absent,58.6706741
Snowflake,2009,Absent,87.76624525
Snowflake,2013,Absent,62.55330089
Snowflake,2022,Absent,682.4158741
Harrison,1966,Present,239.3439423
Harrison,1967,Present,258.5902653
Harrison,1972,Present,121.2687716
Harrison,1977,Present,150.7109455
Harrison,1996,Present,245.6991921
Harrison,1997,Present,69.79707713
Harrison,1998,Present,56.15031925
Harrison,1999,Present,55.35100395
Harrison,2001,Present,56.23859723
Harrison,2002,Present,100.4637223
Harrison,2003,Present,60.34006707
Harrison,2004,Present,88.2809498
Harrison,2005,Present,42.64771459
Harrison,2006,Present,60.5486896
Harrison,2009,Present,40.57849058
Harrison,2015,Present,9.011205209
Harrison,2022,Present,198.8954902
