Lake,Year,Fish.Status,Acan.vern,Alon.gutt,Chyd.spha,CYCLO,Daph.midd,Daph.pule,Diac.thom,EUCYC,Hesp.arct,Lept.tyrr,Macr.albi,Yr.mass
Bighorn,1966,Present,0,0,0,0,0,0,0,0,3.300325313,0,0,3.300325313
Bighorn,1968,Present,0,0,0,0,0,0,0.122748076,0,0.128869846,0,0,0.251617921
Bighorn,1971,Present,0,0,0,0,0,0,0.046644269,0,0,0,0,0.046644269
Bighorn,1972,Present,0.233039501,0,0,0,0,0,0,0,0,0,0,0.233039501
Bighorn,1977,Present,0.388399169,0,0.000216591,0,0,0,0.339705299,0,0,0,0,0.728321059
Bighorn,1991,Present,0.005419966,0,0,0.020198496,0,0,0.001653839,0,0.058230236,0,0,0.085502537
Bighorn,1992,Present,0.000912049,0,1.22566E-05,0.007529188,0.007387868,0,0.003865848,0,0.050819101,0.003000424,0,0.073526734
Bighorn,1994,Present,0.083205824,0,0,2.088408659,0.038786285,0,0.008682651,0,0.022233355,0,0,2.241316776
Bighorn,1995,Present,0.009419528,0,0,0.75052978,0,0,0,0,0,0,0,0.759949308
Bighorn,1996,Decline,0.001046615,0,0,4.973801227,0,0,0,0,0,0,0,4.974847841
Bighorn,1997,Decline,0.044146185,0,0,1.556236929,0,0,0.604486108,0,0,0,0,2.204869222
Bighorn,1998,Decline,0,0,0,7.295494069,6.826387229,0,6.187256542,0,0,0,0,20.30913784
Bighorn,1999,Decline,0.016745826,0,0,0.798480093,4.303431356,0,0.837255557,0,0,0,0,5.955912832
Bighorn,2000,Decline,0,0,0,0.272812423,16.96900235,0,0.97679815,0,0,0,0,18.21861292
Bighorn,2001,Decline,0.005562007,0,0,1.648583391,22.8152046,0,1.962940484,0,0,0,0,26.43229049
Bighorn,2002,Absent,0.001148285,0,1.1206E-05,1.251567351,25.86003928,0,0.276372892,0,0.032524234,0.000783783,0,27.42244703
Bighorn,2003,Absent,0.001255937,0,0,1.442650433,4.36364245,0,0.831673854,0,0.03049146,0,0,6.669714134
Bighorn,2004,Absent,0.017583117,0,1.28402E-05,1.361991588,5.441901331,0,0.487386099,0.000943235,0.393001079,0,0,7.702819287
Bighorn,2005,Absent,0.000478452,0,0,0.025968193,13.21426364,0,0,0,1.150205741,0,0,14.39091603
Bighorn,2006,Absent,0.005023747,0,1.86766E-05,0.014981155,29.29140703,0,0,0,9.025472956,0,0,38.33690356
Bighorn,2009,Absent,0,0,0,0,2.878723429,0,0,0,3.614642009,0,0,6.493365438
Bighorn,2013,Absent,0.000717678,0,0,0,4.344064608,0,0,0,0.426880471,0,0,4.771662757
Bighorn,2022,Absent,0,0,0,0,39.89447083,0,0,0,275.2701491,0,0,315.1646199
Harrison,1966,Present,0,0,0,0,0,9.165530602,230.1526417,0,0,0,0.025769989,239.3439423
Harrison,1967,Present,0,0,0,0,0,7.958363157,250.5288222,0,0,0,0.103079958,258.5902653
Harrison,1972,Present,0,0,0,0,0,23.07031117,98.19846045,0,0,0,0,121.2687716
Harrison,1977,Present,0.388399169,0,0,0,0,32.4593913,117.8381525,0.025002507,0,0,0,150.7109455
Harrison,1996,Present,0.089311073,0,0,76.65663082,0,48.54909955,120.0800877,0,0,0,0.324062906,245.6991921
