Lake,Year,Fish.Status,Yr.mass
Opabin,2006,Absent,14.23656658
Opabin,2007,Absent,18.38938877
Opabin,2008,Absent,21.8534189
Opabin,2009,Absent,15.30022432
Opabin,2010,Absent,38.07879825
Opabin,2011,Absent,10.63698014
Opabin,2012,Absent,18.99487087
Opabin,2013,Absent,72.81964717
Opabin,2018,Absent,47.85599254
Oesa,2006,Absent,51.25163969
Oesa,2007,Absent,12.79428638
Oesa,2008,Absent,71.99316143
Oesa,2009,Absent,36.95606422
Oesa,2010,Absent,25.02025245
Oesa,2011,Absent,50.54794128
Oesa,2012,Absent,4.744362671
Oesa,2013,Absent,25.86761135
Oesa,2018,Absent,17.77680505
Eiffel,1975,Absent,73.35495971
Eiffel,2007,Absent,20.68981823
Eiffel,2008,Absent,202.1088907
Eiffel,2009,Absent,72.81149509
Eiffel,2010,Absent,158.5194378
Eiffel,2011,Absent,71.96566245
Eiffel,2012,Absent,20.89789639
Eiffel,2013,Absent,71.45907861
Eiffel,2018,Absent,26.1536976
Hungabee,2007,Absent,103.1720439
Hungabee,2008,Absent,61.13854565
Hungabee,2009,Absent,179.7699214
Hungabee,2010,Absent,57.86174704
Hungabee,2011,Absent,67.56198793
Hungabee,2012,Absent,45.18173969
Hungabee,2013,Absent,60.20963629
Hungabee,2017,Absent,11.97704243
Sentinel,1975,Absent,224.8459602
Sentinel,2007,Absent,21.24084592
Sentinel,2009,Absent,88.21866666
Sentinel,2010,Absent,178.6308256
Sentinel,2011,Absent,148.3125187
Sentinel,2012,Absent,95.45333646
Sentinel,2013,Absent,176.7047598
Sentinel,2018,Absent,98.30085622
