"","NMDS1","NMDS2","Fish.Status","Lake","Year"
"Big66",-0.432657816360572,-0.177759010458147,"Stocked","Bighorn",1966
"Big68",0.476466596859831,-0.4126419358848,"Stocked","Bighorn",1968
"Big71",0.564147145714773,-0.47078703209991,"Stocked","Bighorn",1971
"Big72",0.937058354492507,0.0424913403635092,"Stocked","Bighorn",1972
"Big77",0.80279334074445,-0.0170546692914284,"Stocked","Bighorn",1977
"Big91",0.84927154867943,0.0534438999768945,"Stocked","Bighorn",1991
"Big92",0.634416372526826,0.135165276115534,"Stocked","Bighorn",1992
"Big94",0.932730837617465,0.0410962372287324,"Stocked","Bighorn",1994
"Big95",0.937152071929131,0.042493592784114,"Stocked","Bighorn",1995
"Big96",0.937109531487374,0.0424923910341609,"Decline","Bighorn",1996
"Big97",0.891288366847509,0.0272586696768955,"Decline","Bighorn",1997
"Big98",0.816172560875248,0.0237767521516234,"Decline","Bighorn",1998
"Big99",0.709642605846668,0.134681670845143,"Decline","Bighorn",1999
"Big00",0.14777498546024,0.655390159198101,"Decline","Bighorn",2000
"Big01",0.576454335349035,0.327869730529696,"Decline","Bighorn",2001
"Big02",0.468254546533815,0.528753758484221,"Absent","Bighorn",2002
"Big03",0.777672676551478,0.100152781601329,"Absent","Bighorn",2003
"Big04",0.761643244512831,0.13321144516532,"Absent","Bighorn",2004
"Big05",-0.814972082432976,0.650065334006527,"Absent","Bighorn",2005
"Big06",-0.83852816624163,0.448171343602487,"Absent","Bighorn",2006
"Big09",-0.679858238526001,0.170382797196705,"Absent","Bighorn",2009
"Big13",-0.966942604393476,0.543635289155004,"Absent","Bighorn",2013
"Big22",-0.472410298384001,-0.0679510422755344,"Absent","Bighorn",2022
"Har66",0.559012599193055,-0.450445003123857,"Stocked","Harrison",1966
"Har67",0.55899233701735,-0.455424685107526,"Stocked","Harrison",1967
"Har72",0.5186760398945,-0.391272543714828,"Stocked","Harrison",1972
"Har77",0.51113403046252,-0.383341673202902,"Stocked","Harrison",1977
"Har96",0.762909789781278,0.00381653336432584,"Stocked","Harrison",1996
"Har97",0.866801237191382,0.0413091068935185,"Stocked","Harrison",1997
"Har98",0.733757177563257,0.175238991647742,"Stocked","Harrison",1998
"Har99",0.789494930630727,0.0838216149859582,"Stocked","Harrison",1999
"Har01",0.778058269988022,0.13816765346621,"Stocked","Harrison",2001
"Har02",0.868851042364206,0.0462203228996976,"Stocked","Harrison",2002
"Har03",0.8516779894759,0.0838786967216503,"Stocked","Harrison",2003
"Har04",0.859839804278502,0.0727524151432927,"Stocked","Harrison",2004
"Har05",0.788112078760641,0.121912945827952,"Stocked","Harrison",2005
"Har06",0.693470188773171,0.362071393050068,"Stocked","Harrison",2006
"Har09",0.780343295344432,0.199121363047721,"Stocked","Harrison",2009
"Har15",0.859213822894069,0.0967231630060117,"Stocked","Harrison",2015
"Har22",0.588010878933302,0.529971849111663,"Stocked","Harrison",2022
"Pip66",-0.439369951701707,-0.101356462957047,"Stocked","Pipit",1966
"Pip67",-0.0143692975069275,-0.0649920423206684,"Stocked","Pipit",1967
"Pip68",0.937122103618195,0.0424927106914146,"Stocked","Pipit",1968
"Pip69",0.93706776665638,0.042491464491119,"Stocked","Pipit",1969
"Pip71",0.790541109914562,0.244073025882314,"Stocked","Pipit",1971
"Pip72",0.937065993362649,0.0424914524415488,"Stocked","Pipit",1972
"Pip77",0.870023088123095,0.0942999806546667,"Decline","Pipit",1977
"Pip91",-0.363061270733656,-0.139292937967654,"Decline","Pipit",1991
"Pip92",-0.388773008215485,-0.132889527264772,"Absent","Pipit",1992
"Pip93",-0.452914880762954,-0.0735159352667086,"Absent","Pipit",1993
"Pip94",-0.304198729309885,-0.134190388520071,"Absent","Pipit",1994
"Pip95",-0.418215038182694,-0.171129197472405,"Absent","Pipit",1995
"Pip96",-0.302823727104989,-0.0641795403823446,"Absent","Pipit",1996
"Pip97",-0.314440838205521,-0.101335991845418,"Absent","Pipit",1997
"Pip98",-0.498583762540152,0.0724669150568191,"Absent","Pipit",1998
"Pip99",-0.270246732409064,-0.119081690864234,"Absent","Pipit",1999
"Pip00",-0.399558325702826,-0.113967848973108,"Absent","Pipit",2000
"Pip01",-0.457014932811666,0.0237345875744932,"Absent","Pipit",2001
"Pip02",0.0963247167708366,0.055379440594744,"Absent","Pipit",2002
"Pip03",-0.502585881645645,0.00372213633578313,"Absent","Pipit",2003
"Pip04",-0.357845406962336,-0.084953478237097,"Absent","Pipit",2004
"Pip05",-0.650203135478331,0.1659382591505,"Absent","Pipit",2005
"Pip06",-0.556459395832831,0.0439579024854372,"Absent","Pipit",2006
"Pip07",-0.710859993446858,0.220856851319075,"Absent","Pipit",2007
"Pip08",-0.547627616769579,0.020474795374389,"Absent","Pipit",2008
"Pip09",-0.390525856522337,-0.100948227631854,"Absent","Pipit",2009
"Pip13",-0.446597609147322,-0.0926359921850031,"Absent","Pipit",2013
"Pip22",-0.614914064365592,0.0972462994167782,"Absent","Pipit",2022
"Sno66",-0.325981454021096,0.516253579720929,"Stocked","Snowflake",1966
"Sno67",-0.31903996039974,0.242913289162436,"Stocked","Snowflake",1967
"Sno68",-0.16913900620278,0.256844026184758,"Stocked","Snowflake",1968
"Sno69",-0.171736677602863,0.256484845086446,"Stocked","Snowflake",1969
"Sno70",0.311222795208999,0.26672736470841,"Stocked","Snowflake",1970
"Sno71",0.50608496482864,0.144468056048681,"Stocked","Snowflake",1971
"Sno72",0.559293427861025,-0.458149026156004,"Stocked","Snowflake",1972
"Sno73",0.561323859043706,-0.463958652193853,"Stocked","Snowflake",1973
"Sno74",0.560353688485072,-0.460637593295949,"Stocked","Snowflake",1974
"Sno75",0.561391030385192,-0.4641851487886,"Stocked","Snowflake",1975
"Sno77",0.559380397852947,-0.459207365938608,"Stocked","Snowflake",1977
"Sno78",-0.406398630087823,1.01561979336208,"Stocked","Snowflake",1978
"Sno79",0.559090228876119,-0.456546799103514,"Decline","Snowflake",1979
"Sno91",0.66141350930729,0.211684453475799,"Decline","Snowflake",1991
"Sno92",0.771478942743357,0.00952386915284169,"Absent","Snowflake",1992
"Sno93",0.558882230856787,-0.189721880192022,"Absent","Snowflake",1993
"Sno94",0.661065791354185,-0.0602475736639185,"Absent","Snowflake",1994
"Sno95",0.763289667115806,-0.013469172377863,"Absent","Snowflake",1995
"Sno96",0.28360259763867,0.12539607192766,"Absent","Snowflake",1996
"Sno97",-0.278264014372092,-0.101086154263127,"Absent","Snowflake",1997
"Sno98",0.0949056309754028,0.15125432513038,"Absent","Snowflake",1998
"Sno99",-0.302815218956876,0.0522946008971009,"Absent","Snowflake",1999
"Sno00",-0.368197967030488,-0.0640883012172625,"Absent","Snowflake",2000
"Sno01",-0.260827432110706,0.164885256973867,"Absent","Snowflake",2001
"Sno02",-0.196568257534009,0.145289963835337,"Absent","Snowflake",2002
"Sno03",-0.293331600717332,0.159998255366503,"Absent","Snowflake",2003
"Sno04",-0.341811788382824,0.0811699665433567,"Absent","Snowflake",2004
"Sno05",-0.260092375338871,0.135262691823688,"Absent","Snowflake",2005
"Sno06",-0.361183761307195,0.158681627372877,"Absent","Snowflake",2006
"Sno07",-0.326166680862632,0.204324515950321,"Absent","Snowflake",2007
"Sno08",-0.352229476259366,0.244946960789909,"Absent","Snowflake",2008
"Sno09",-0.37390330866501,0.00617956891730881,"Absent","Snowflake",2009
"Sno13",-0.439190511093643,-0.103980228250946,"Absent","Snowflake",2013
"Sno22",-0.432657816360572,-0.177759010458147,"Absent","Snowflake",2022
"Opa06",-0.432657816360572,-0.177759010458147,"Absent","Opabin",2006
"Opa07",-0.413713682349752,-0.171519677844266,"Absent","Opabin",2007
"Opa08",-0.425032942091511,-0.174677758636825,"Absent","Opabin",2008
"Opa09",-0.412191787763061,-0.047470379633623,"Absent","Opabin",2009
"Opa10",-0.428283875136955,-0.170710817281163,"Absent","Opabin",2010
"Opa11",-0.432657816360572,-0.177759010458147,"Absent","Opabin",2011
"Opa12",-0.425936791156206,-0.176370632046942,"Absent","Opabin",2012
"Opa13",-0.431069485445326,-0.17600348270681,"Absent","Opabin",2013
"Opa18",-0.268017003416897,0.279732358788373,"Absent","Opabin",2018
"Oes06",-0.432657816360572,-0.177759010458147,"Absent","Oesa",2006
"Oes07",-0.428306154748947,-0.170207549639704,"Absent","Oesa",2007
"Oes08",-0.428241290570366,-0.174088726355248,"Absent","Oesa",2008
"Oes09",-0.431720936666994,-0.176549694989095,"Absent","Oesa",2009
"Oes10",-0.429094137487407,-0.173269878454367,"Absent","Oesa",2010
"Oes11",-0.432657816360572,-0.177759010458147,"Absent","Oesa",2011
"Oes12",-0.428223831459653,-0.170363060308256,"Absent","Oesa",2012
"Oes13",-0.426827023828198,-0.168581394761215,"Absent","Oesa",2013
"Oes18",-0.432657816360572,-0.177759010458147,"Absent","Oesa",2018
"Eif75",-0.422722895121366,-0.141669440630582,"Absent","Eiffel",1975
"Eif07",-0.428299517439058,-0.170211691631252,"Absent","Eiffel",2007
"Eif08",-0.42568131362213,-0.155883028933879,"Absent","Eiffel",2008
"Eif09",-0.425461557216922,-0.157031452309779,"Absent","Eiffel",2009
"Eif10",-0.423512052775076,-0.138059073510284,"Absent","Eiffel",2010
"Eif11",-0.442135795924181,-0.100092730225389,"Absent","Eiffel",2011
"Eif12",-0.424712952201163,-0.15016568744865,"Absent","Eiffel",2012
"Eif13",-0.423194885824741,-0.138616873883891,"Absent","Eiffel",2013
"Eif18",0.130664658918209,0.168048114253711,"Absent","Eiffel",2018
"Hun07",-0.544093242909341,0.0159223100222535,"Absent","Hungabee",2007
"Hun08",-0.504533626607853,-0.027822608336097,"Absent","Hungabee",2008
"Hun09",-0.437590527824126,-0.106089407663462,"Absent","Hungabee",2009
"Hun10",-0.554723650611555,0.030805090385778,"Absent","Hungabee",2010
"Hun11",-0.428346313643845,-0.122899652027676,"Absent","Hungabee",2011
"Hun12",-0.427159995298782,-0.166339110666591,"Absent","Hungabee",2012
"Hun13",-0.437664570590511,-0.10627704857613,"Absent","Hungabee",2013
"Hun18",-0.171122029486401,0.403246618277752,"Absent","Hungabee",2017
"Sen75",-0.434129118758648,-0.110958397178541,"Absent","Sentinel",1975
"Sen07",-0.394051333858219,-0.124712006516065,"Absent","Sentinel",2007
"Sen09",-0.554837951546235,0.0343667595875055,"Absent","Sentinel",2009
"Sen10",-0.426292366456378,-0.158170386100139,"Absent","Sentinel",2010
"Sen11",-0.425709147015614,-0.154627984335552,"Absent","Sentinel",2011
"Sen12",-0.428295852157288,-0.170193424275577,"Absent","Sentinel",2012
"Sen13",-0.439080685486198,-0.105397802978,"Absent","Sentinel",2013
"Sen18",-0.11059882916936,0.430521001625969,"Absent","Sentinel",2018
