NMDS1,NMDS2,Lake,Year,Fish.Status,Dist.From.Last,Std.dist.f.last,Tot.Dist,Tot.Std.Dist,Dist.Frm.Centroid,Plot.Order
-0.437844873,-0.152907307,Bighorn,1966,Present,NA,NA,NA,NA,0.023567292,1
0.482569824,-0.409854109,Bighorn,1968,Present,0.955607071,0.477803536,0.955607071,0.477803536,0.957257654,1
0.571198123,-0.465061866,Bighorn,1971,Present,0.104416817,0.034805606,1.164440705,0.547414747,1.058498574,1
0.925570201,0.045577087,Bighorn,1972,Present,0.621555879,0.621555879,2.407552463,1.790526505,1.369684582,1
0.798698491,-0.012380825,Bighorn,1977,Present,0.139483155,0.027896631,2.686518773,1.846319767,1.23712089,1
0.84238413,0.049452945,Bighorn,1991,Present,0.075708984,0.005407785,2.83793674,1.857135336,1.287761997,1
0.634953178,0.141150448,Bighorn,1992,Present,0.226795132,0.226795132,3.291527004,2.3107256,1.101643324,1
0.921619295,0.042903576,Bighorn,1994,Present,0.303034504,0.151517252,3.897596012,2.613760104,1.365425434,1
0.925570201,0.045577087,Bighorn,1995,Present,0.004770464,0.004770464,3.90713694,2.623301032,1.369684582,1
0.925570201,0.045577087,Bighorn,1996,Decline,0,0,3.90713694,2.623301032,1.369684582,1
0.883128973,0.032053044,Bighorn,1997,Decline,0.044543884,0.044543884,3.996224708,2.7123888,1.325884574,1
0.812423179,0.028056518,Bighorn,1998,Decline,0.070818653,0.070818653,4.137862013,2.854026105,1.255228672,1
0.70942177,0.132953818,Bighorn,1999,Decline,0.147012699,0.147012699,4.431887411,3.148051503,1.172100806,1
0.143235301,0.674864757,Bighorn,2000,Decline,0.783731194,0.783731194,5.999349798,4.71551389,0.989679164,1
0.579509691,0.339394671,Bighorn,2001,Decline,0.550341278,0.550341278,7.100032355,5.816196447,1.115818036,1
0.471469419,0.538739069,Bighorn,2002,Absent,0.226739695,0.226739695,7.553511745,6.269675837,1.124636991,1
0.773446286,0.098927696,Bighorn,2003,Absent,0.533501707,0.533501707,8.62051516,7.336679252,1.227784596,1
0.759723817,0.141417846,Bighorn,2004,Absent,0.04465108,0.04465108,8.709817321,7.425981413,1.223023585,1
-0.814433616,0.673968767,Bighorn,2005,Absent,1.661800863,1.661800863,12.03341905,10.74958314,0.889828023,1
-0.844220836,0.465346557,Bighorn,2006,Absent,0.210738001,0.210738001,12.45489505,11.17105914,0.723558515,1
-0.674576619,0.192435448,Bighorn,2009,Absent,0.32134037,0.107113457,13.09757579,11.38528605,0.402900236,1
-0.98009419,0.555563154,Bighorn,2013,Absent,0.474555283,0.118638821,14.04668635,11.6225637,0.877114735,1
-0.475317549,-0.043551381,Bighorn,2022,Absent,0.78341412,0.087046013,15.61351459,11.79665572,0.096217441,1
