"","NMDS1","NMDS2","Lake","nrow","Year","Fish.Status"
"Big66",-0.437844873207024,-0.152907307361188,"Bighorn",1,1966,"Present"
"Big68",0.48256982438446,-0.409854108623052,"Bighorn",2,1968,"Present"
"Big71",0.571198122537001,-0.465061866017848,"Bighorn",3,1971,"Present"
"Big72",0.925570201464887,0.0455770868551828,"Bighorn",4,1972,"Present"
"Big77",0.798698491021332,-0.0123808250592492,"Bighorn",5,1977,"Present"
"Big91",0.842384129857008,0.0494529452453244,"Bighorn",6,1991,"Present"
"Big92",0.634953177779754,0.141150448224146,"Bighorn",7,1992,"Present"
"Big94",0.921619294642492,0.0429035755325686,"Bighorn",8,1994,"Present"
"Big95",0.925570201464887,0.0455770868551828,"Bighorn",9,1995,"Present"
"Big96",0.925570201464887,0.0455770868551828,"Bighorn",10,1996,"Decline"
"Big97",0.883128973030307,0.0320530442280312,"Bighorn",11,1997,"Decline"
"Big98",0.812423178768937,0.0280565181923356,"Bighorn",12,1998,"Decline"
"Big99",0.709421770161545,0.132953817990112,"Bighorn",13,1999,"Decline"
"Big00",0.143235300827567,0.674864757021918,"Bighorn",14,2000,"Decline"
"Big01",0.579509691070247,0.339394670658536,"Bighorn",15,2001,"Decline"
"Big02",0.471469418979865,0.538739068737957,"Bighorn",16,2002,"Absent"
"Big03",0.773446285860869,0.0989276960501647,"Bighorn",17,2003,"Absent"
"Big04",0.759723817356343,0.141417845824604,"Bighorn",18,2004,"Absent"
"Big05",-0.814433616496757,0.673968766620675,"Bighorn",19,2005,"Absent"
"Big06",-0.844220836308362,0.465346556847404,"Bighorn",20,2006,"Absent"
"Big09",-0.674576619351958,0.192435448189232,"Bighorn",21,2009,"Absent"
"Big13",-0.980094189632692,0.555563154001624,"Bighorn",22,2013,"Absent"
"Big22",-0.475317549060416,-0.0435513811968459,"Bighorn",23,2022,"Absent"
"Har66",0.564158937542798,-0.445814974608855,"Harrison",24,1966,"Present"
"Har67",0.56463148615858,-0.45110153037632,"Harrison",25,1967,"Present"
"Har72",0.522345984772442,-0.394995955852055,"Harrison",26,1972,"Present"
"Har77",0.515544725208076,-0.387236690849805,"Harrison",27,1977,"Present"
"Har96",0.75791085146754,0.00693567498028728,"Harrison",28,1996,"Present"
"Har97",0.859899890648129,0.0438546797209505,"Harrison",29,1997,"Present"
"Har98",0.732117574991867,0.175384610334715,"Harrison",30,1998,"Present"
"Har99",0.785065476487093,0.0850203938887007,"Harrison",31,1999,"Present"
"Har01",0.774861540598444,0.136865885613108,"Harrison",32,2001,"Present"
"Har02",0.862469555791759,0.0480628229779657,"Harrison",33,2002,"Present"
"Har03",0.844309472863684,0.0784858020148087,"Harrison",34,2003,"Present"
"Har04",0.851551658093836,0.0666673826599942,"Harrison",35,2004,"Present"
"Har05",0.784063512635485,0.11786876502535,"Harrison",36,2005,"Present"
"Har06",0.69321659015842,0.363655819909935,"Harrison",37,2006,"Present"
"Har09",0.776384357240528,0.203325390703728,"Harrison",38,2009,"Present"
"Har15",0.85280238225524,0.0926458897391073,"Harrison",39,2015,"Present"
"Har22",0.595592915175352,0.522104385810614,"Harrison",40,2022,"Present"
"Pip66",-0.44471125210234,-0.0768673487731939,"Pipit",41,1966,"Present"
"Pip67",-0.0267515148061098,-0.0377955059627808,"Pipit",42,1967,"Present"
"Pip68",0.925570201464887,0.0455770868551828,"Pipit",43,1968,"Present"
"Pip69",0.925570201464887,0.0455770868551828,"Pipit",44,1969,"Present"
"Pip71",0.785821996477558,0.251691725905,"Pipit",45,1971,"Present"
"Pip72",0.925570201464887,0.0455770868551828,"Pipit",46,1972,"Present"
"Pip77",0.86264782314277,0.0998590072621935,"Pipit",47,1977,"Decline"
