"","NMDS1","NMDS2"
"Carnivore",-0.314561890182023,-0.32687292248457
"Herbivore",-0.392576663283474,0.729455592936677
"Omnivore",1.00535205743699,0.335915940051069
"Filter Feeding",-0.531889917040243,0.0180914061329211
"Raptorial",0.945977451778032,-0.0321759479253435
"Large Body",-0.587495385874005,-0.0882157483960878
"Medium Body",0.446764915113414,-0.199745434248086
"Small Body",0.991229943774354,0.343942414829006
"Facultative Asexual",-0.414714640985167,0.767352395842278
"Obligate Sexual",0.0465745231492476,-0.0861775022914251
"No Pigment",0.945973746425217,-0.0321798849952272
"Pigmented",-0.531869395742772,0.0180929925932532
"Rapid Movement",0.0465745231492476,-0.0861775022914251
"Slow Movment",-0.414714640985167,0.767352395842278
