"","Trophic.Group_Carnivore","Trophic.Group_Herbivore","Trophic.Group_Omnivore","Feeding.Method_Filtration","Feeding.Method_Raptorial","Body.Size_L","Body.Size_M","Body.Size_S","Reproduction_Facultative.asexual","Reproduction_Obligate.sexual","Pigmentation_NO","Pigmentation_YES","Motility_Rapid","Motility_Slow"
"Big66",1,0,0,1,0,1,0,0,0,1,0,1,1,0
"Big68",1,0,0,0.0929705215419501,0.90702947845805,0.0929705215419501,0.90702947845805,0,0,1,0.90702947845805,0.0929705215419501,1,0
"Big71",1,0,0,0,1,0,1,0,0,1,1,0,1,0
"Big72",0,0,1,0,1,0,0,1,0,1,1,0,1,0
"Big77",0.237706678118961,0.0107365256602963,0.751556796220743,0.0107365256602963,0.989263474339704,0,0.237706678118961,0.762293321881039,0.0107365256602963,0.989263474339704,0.989263474339704,0.0107365256602963,0.989263474339704,0.0107365256602963
"Big91",0.0674264160962934,0,0.932573583903707,0.0522317282374077,0.947768271762592,0.0522317282374077,0.0151946878588857,0.932573583903707,0,1,0.947768271762592,0.0522317282374077,1,0
"Big92",0.182634740575707,0.0979469989317381,0.719418260492555,0.200598830072405,0.799401169927595,0.119760478129481,0.142857171881267,0.737382349989252,0.0350727364855118,0.964927263514488,0.799401169927595,0.200598830072405,0.964927263514488,0.0350727364855118
"Big94",0.00118063763980796,0.000472254949101614,0.99834710741109,0.000708382423652421,0.999291617576348,0.000708382423652421,0.000944510165257148,0.99834710741109,0.000472254949101614,0.999527745050898,0.999291617576348,0.000708382423652421,0.999527745050898,0.000472254949101614
"Big95",0,0,1,0,1,0,0,1,0,1,1,0,1,0
"Big96",0,0,1,0,1,0,0,1,0,1,1,0,1,0
"Big97",0.0817212884102836,0,0.918278711589716,0,1,0,0.0817212884102836,0.918278711589716,0,1,1,0,1,0
"Big98",0.161969269929295,0.0200018183386328,0.818028911732072,0.0200018183386328,0.979998181661367,0.0200018183386328,0.161969269929295,0.818028911732072,0.0200018183386328,0.979998181661367,0.979998181661367,0.0200018183386328,0.979998181661367,0.0200018183386328
"Big99",0.174855366654554,0.100595803670113,0.724548829675334,0.100595803670113,0.899404196329887,0.100595803670113,0.174855366654554,0.724548829675334,0.100595803670113,0.899404196329887,0.899404196329887,0.100595803670113,0.899404196329887,0.100595803670113
