"","Trophic.Group","Feeding.Method","Body.Size","Reproduction","Pigmentation","Motility"
"Big66","Carnivore","Filtration","L","Obligate sexual","YES","Rapid"
"Big68","Carnivore","Raptorial","M","Obligate sexual","NO","Rapid"
"Big71","Carnivore","Raptorial","M","Obligate sexual","NO","Rapid"
"Big72","Omnivore","Raptorial","S","Obligate sexual","NO","Rapid"
"Big77","Omnivore","Raptorial","S","Obligate sexual","NO","Rapid"
"Big91","Omnivore","Raptorial","S","Obligate sexual","NO","Rapid"
"Big92","Omnivore","Raptorial","S","Obligate sexual","NO","Rapid"
"Big94","Omnivore","Raptorial","S","Obligate sexual","NO","Rapid"
"Big95","Omnivore","Raptorial","S","Obligate sexual","NO","Rapid"
"Big96","Omnivore","Raptorial","S","Obligate sexual","NO","Rapid"
"Big97","Omnivore","Raptorial","S","Obligate sexual","NO","Rapid"
"Big98","Omnivore","Raptorial","S","Obligate sexual","NO","Rapid"
"Big99","Omnivore","Raptorial","S","Obligate sexual","NO","Rapid"
"Big00","Herbivore","Raptorial","L","Obligate sexual","NO","Rapid"
"Big01","Omnivore","Raptorial","S","Obligate sexual","NO","Rapid"
"Big02","Omnivore","Raptorial","S","Obligate sexual","NO","Rapid"
"Big03","Omnivore","Raptorial","S","Obligate sexual","NO","Rapid"
"Big04","Omnivore","Raptorial","S","Obligate sexual","NO","Rapid"
"Big05","Herbivore","Filtration","L","Facultative asexual","YES","Slow"
"Big06","Herbivore","Filtration","L","Facultative asexual","YES","Slow"
"Big09","Carnivore","Filtration","L","Obligate sexual","YES","Rapid"
"Big13","Herbivore","Filtration","L","Facultative asexual","YES","Slow"
"Big22","Carnivore","Filtration","L","Obligate sexual","YES","Rapid"
"Har66","Carnivore","Raptorial","M","Obligate sexual","NO","Rapid"
"Har67","Carnivore","Raptorial","M","Obligate sexual","NO","Rapid"
"Har72","Carnivore","Raptorial","M","Obligate sexual","NO","Rapid"
"Har77","Carnivore","Raptorial","M","Obligate sexual","NO","Rapid"
"Har96","Omnivore","Raptorial","S","Obligate sexual","NO","Rapid"
"Har97","Omnivore","Raptorial","S","Obligate sexual","NO","Rapid"
"Har98","Omnivore","Raptorial","S","Obligate sexual","NO","Rapid"
"Har99","Omnivore","Raptorial","S","Obligate sexual","NO","Rapid"
"Har01","Omnivore","Raptorial","S","Obligate sexual","NO","Rapid"
"Har02","Omnivore","Raptorial","S","Obligate sexual","NO","Rapid"
"Har03","Omnivore","Raptorial","S","Obligate sexual","NO","Rapid"
"Har04","Omnivore","Raptorial","S","Obligate sexual","NO","Rapid"
"Har05","Omnivore","Raptorial","S","Obligate sexual","NO","Rapid"
"Har06","Omnivore","Raptorial","S","Obligate sexual","NO","Rapid"
"Har09","Omnivore","Raptorial","S","Obligate sexual","NO","Rapid"
"Har15","Omnivore","Raptorial","S","Obligate sexual","NO","Rapid"
"Har22","Omnivore","Raptorial","S","Obligate sexual","NO","Rapid"
"Pip66","Carnivore","Filtration","L","Obligate sexual","YES","Rapid"
"Pip67","Carnivore","Filtration","L","Obligate sexual","YES","Rapid"
"Pip68","Omnivore","Raptorial","S","Obligate sexual","NO","Rapid"
"Pip69","Omnivore","Raptorial","S","Obligate sexual","NO","Rapid"
"Pip71","Omnivore","Raptorial","S","Obligate sexual","NO","Rapid"
"Pip72","Omnivore","Raptorial","S","Obligate sexual","NO","Rapid"
"Pip77","Omnivore","Raptorial","S","Obligate sexual","NO","Rapid"
"Pip91","Carnivore","Filtration","L","Obligate sexual","YES","Rapid"
"Pip92","Carnivore","Filtration","L","Obligate sexual","YES","Rapid"
"Pip93","Carnivore","Filtration","L","Obligate sexual","YES","Rapid"
"Pip94","Carnivore","Filtration","L","Obligate sexual","YES","Rapid"
"Pip95","Carnivore","Filtration","L","Obligate sexual","YES","Rapid"
"Pip96","Carnivore","Filtration","L","Obligate sexual","YES","Rapid"
"Pip97","Carnivore","Filtration","L","Obligate sexual","YES","Rapid"
"Pip98","Carnivore","Filtration","L","Obligate sexual","YES","Rapid"
"Pip99","Carnivore","Filtration","L","Obligate sexual","YES","Rapid"
"Pip00","Carnivore","Filtration","L","Obligate sexual","YES","Rapid"
"Pip01","Carnivore","Filtration","L","Obligate sexual","YES","Rapid"
"Pip02","Carnivore","Filtration","L","Obligate sexual","YES","Rapid"
"Pip03","Carnivore","Filtration","L","Obligate sexual","YES","Rapid"
"Pip04","Carnivore","Filtration","L","Obligate sexual","YES","Rapid"
