"","Big66","Big68","Big71","Big72","Big77","Big91","Big92","Big94","Big95","Big96","Big97","Big98","Big99","Big00","Big01","Big02","Big03","Big04","Big05","Big06","Big09","Big13","Har66","Har67","Har72","Har77","Har96","Har97","Har98","Har99","Har01","Har02","Har03","Har04","Har05","Har06","Har09","Har15","Pip66","Pip67","Pip68","Pip69","Pip71","Pip72","Pip77","Pip91","Pip92","Pip93","Pip94","Pip95","Pip96","Pip97","Pip98","Pip99","Pip00","Pip01","Pip02","Pip03","Pip04","Pip05","Pip06","Pip07","Pip08","Pip09","Pip13","Sno66","Sno67","Sno68","Sno69","Sno70","Sno71","Sno72","Sno73","Sno74","Sno75","Sno77","Sno78","Sno79","Sno91","Sno92","Sno93","Sno94","Sno95","Sno96","Sno97","Sno98","Sno99","Sno00","Sno01","Sno02","Sno03","Sno04","Sno05","Sno06","Sno07","Sno08","Sno09","Sno13","Opa06","Opa07","Opa08","Opa09","Opa10","Opa11","Opa12","Opa13","Oes06","Oes07","Oes08","Oes09","Oes10","Oes11","Oes12","Oes13","Eif75","Eif07","Eif08","Eif09","Eif10","Eif11","Eif12","Eif13","Hun07","Hun08","Hun09","Hun10","Hun11","Hun12","Hun13","Sen75","Sen07","Sen09","Sen10","Sen11","Sen12","Sen13"
"Big66",0,0.945003353454058,1,1,1,0.973622649607169,0.973220603821743,0.999543737431315,1,1,1,1,1,1,1,0.999283363699216,0.99923971688344,0.989547496200275,0.889152412582286,0.85871945909753,0.353846153846154,0.902179198975191,1,1,1,1,1,1,1,1,1,0.998349106310432,1,1,1,1,1,1,0.679389312977099,0.416666666666667,1,1,1,1,1,0.537490453010076,0.807870718942697,0.643511445829615,0.915058247803447,0.831514145563672,0.864825245474857,0.667286183595256,0.731210771799281,0.77459450123947,0.897983571013114,0.725502670672356,0.894825206055371,0.786448285271782,0.843796765667731,0.675910200368648,0.767696246812421,0.53546296435215,0.832345305257458,0.192307692307692,0.133981020954888,0.98658621182865,0.861807137377598,0.886210489721768,0.907576680895651,0.941541856022069,0.97869170514816,1,1,1,1,1,1,1,1,1,0.997864780701342,0.995343648789819,0.974083264405845,0.875615878206025,0.778520150483923,0.847346816135515,0.915255160521262,0.892403458526664,0.940736868150313,0.975917018794807,0.917158091887428,0.930243590590768,0.95518233045475,0.94385922962021,0.934684584699701,0.952437147556772,0.943490256094392,0.900831491450179,0.623613427893933,0.914005917903068,0.894790213326646,0.892538132346342,0.916706762656124,0.856032646412237,0.872578541211046,0.982016761442532,0.879002513927201,0.846211006987565,0.97650521326776,0.956315739824278,0.956937420389061,0.986557261766272,0.825502690685358,0.983205745326884,0.914529914529915,0.871034551663864,0.981066673734051,0.949015910523811,0.985883689462639,0.947299967561956,0.870437284234582,0.967372103495451,0.987981146311298,0.961783094947138,0.987930746204609,0.96399067273977,0.976060054376312,0.92963756455858,0.897124670396997,0.97134670487106,0.765475461919597,0.954032626399174,0.991216041769112,0.984857906045213,0.977849961534467,0.987760867318307
"Big68",0.945003353454058,0,0.487352445193929,1,0.843075715967046,0.939887626932766,0.903874452074247,0.997672981567119,1,1,0.967407341862848,0.993596117483207,0.950138938819271,0.941268830258434,0.979068829732734,0.970968621690542,0.967105647548521,0.962170469611426,0.986318630421493,0.994247649661486,0.968951154865581,0.962172853026536,0.998948352265184,0.99903126706635,0.99768947062884,0.998114723771684,0.999472668975102,0.998808979498933,0.99710948517368,0.997834265457962,0.997601989672793,0.999080444975347,0.998478122158086,0.999009968955397,0.997038976507249,0.996510886279952,0.996471876407094,1,0.986197609829995,0.972584419926446,1,1,1,1,1,0.979142538653638,0.99205514143581,0.98447496670702,0.996599460973426,0.993083060675739,0.994506394620441,0.985620923603737,0.988617139423482,0.990582877293394,0.995895057590227,0.988354502006427,0.954436879931499,0.990148539320789,0.99361123116889,0.986032295727909,0.990273860088621,0.979036871410824,0.993118926508174,0.958814665996987,0.95484305781842,0.990021585578657,0.994378615533954,0.995405165810699,0.996291696670941,0.987454723026813,0.990994869811147,0.998516506645116,0.998789457994949,0.99737533669509,0.998582467604955,0.989322085930513,0.966723513996922,0.865015354503425,0.993401226438855,0.992816129700307,0.973274886091513,0.98449819039833,0.984640300924716,0.994329128841083,0.990758142498879,0.993763155103128,0.996607542750724,0.995663292981501,0.992445828757952,0.999014979768706,0.996143424902012,0.997219939457252,0.986361728175982,0.997771555676663,0.972037881941307,0.998116808569703,0.992646838584102,0.996013045562306,0.983502234691521,0.996556254745407,0.995762519240338,0.995668895646493,0.996667090848995,0.994133487605172,0.99483358489541,0.999294116068617,0.995103522429897,0.993714583922457,0.999076290836634,0.998272346989638,0.998297244533725,0.999473038775972,0.992823114869113,0.999341014863716,0.99657777221318,0.994768550184503,0.999256617022049,0.997979316105383,0.999446525910263,0.997910251564565,0.994743376324668,0.99871378807398,0.999529050901966,0.998490996714079,0.999527069077844,0.998579083293116,0.999058666838503,0.997195283895427,0.995859434323229,0.998871782171407,0.990174094558607,0.998180833031994,0.999656131392299,0.999406129475118,0.999129502083028,0.999520388701941
"Big71",1,0.487352445193929,0,1,0.936785194427116,0.978727050125236,0.918594617418875,0.998120516216247,1,1,0.987467227823168,0.997560881981753,0.980705253833813,0.977198381887731,0.991985554992097,0.989135192353215,0.987652868908076,0.986797601412962,1,1,1,1,0.999600221982005,0.999631752615283,0.999121265377856,0.99928310678879,0.999799576030107,0.999547217397093,0.998900456224058,0.999176376494383,0.999087965997723,0.999682960338742,0.99942136830088,0.999623653603246,0.998873606203399,0.998672463503185,0.998657602102064,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.984057695408406,0.999006611203629,1,1,1,1,1,1,1,1,1,1,1,0.991320519678119,0.996887005565377,0.999435970254849,0.999539792785646,0.999001681378731,0.999461061708434,0.995926680244399,0.987201077803974,0.946076344543777,0.997486474286703,0.99726302636564,0.990587527487841,0.994629694773578,0.994679175272167,0.999356353978957,1,1,1,1,0.994756869628857,0.999961849401322,0.999451421864143,1,0.993385339555338,1,0.990273143853382,1,0.994849450679561,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Big72",1,1,1,0,0.378422376794435,0.960205780402816,0.992718692530346,0.95322030212372,0.986591283073162,0.999736344531589,0.969637423844835,1,0.982952326337925,1,0.997486369509013,0.999308506104632,0.99914805648277,0.987311057142252,0.998873187402059,0.994310592637523,1,0.996619983553357,1,1,1,0.990140845070423,0.998940151649847,0.997609531781609,0.998313829093303,0.999783097703128,0.998961033434059,0.999419640141545,1,1,1,1,1,1,1,0.645161290322581,0.615384615384615,0.2,0.755102040816327,0.106382978723404,0.365079365079365,1,1,0.997711433579098,0.998597857656897,0.997518573238692,1,1,0.999103869175493,1,0.999449345772548,0.994522815652414,0.999010096762555,1,0.999156203952142,1,1,0.999186918516564,1,1,1,1,0.983838384236302,0.904929669931623,0.921302138907285,0.886404017202969,0.957832667275722,0.998964739521064,0.999879248928334,1,1,1,1,1,1,0.995127704358361,0.999109810260463,0.979617629635804,0.999289123590941,0.988238536034015,0.983392036270329,0.999305124135972,1,0.994904868851212,0.996841605430451,0.998649433193338,0.981898974771865,0.999418763370421,0.997852316356753,0.999529116343439,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.952270000592538,0.996383697803118,1,1,1,1
"Big77",1,0.843075715967046,0.936785194427116,0.378422376794435,0,0.978358359825232,0.990177232047289,0.955041188795141,0.988844306251649,0.999745442549666,0.895358615869218,0.982855844012168,0.875827622280867,0.875878682055869,0.945465770900008,0.943755837962409,0.923208563424285,0.907856143492229,0.999155399570911,0.994631355396042,1,0.997973842150427,0.997105606155882,0.997332649026489,0.993682534519213,0.978499942831409,0.997486588894581,0.994342985636053,0.990449701873972,0.993858548183532,0.992119215441413,0.997123011397958,0.995821714162638,0.997248301291501,0.991890030370217,0.990518225141023,0.990414149697137,1,1,0.771055917857638,0.806088811324413,0.537724946343074,0.88016776512882,0.28345046162326,0.632030839320133,0.999025186640752,1,0.998327562486233,0.998724412553819,0.997913385400218,1,1,0.999304521016342,1,0.999507547968833,0.995766906250372,0.964010398549702,0.999339571687846,0.999282741016408,0.998679950128347,0.998116002665909,0.999442718717347,1,1,1,1,0.986036167217786,0.915948318349451,0.92818556052455,0.811257285215313,0.909808293966969,0.994895890768848,0.99655077532376,0.992835345628234,0.99593019063381,0.970759568848958,0.921647733305022,0.781712775816852,0.982351625851839,0.976079369111576,0.939012819209804,0.944242226319311,0.963399795583965,0.989204133193948,0.986636563509026,0.99881490514832,1,0.99546826834091,0.992410323007749,0.998651206029923,0.979580695384908,0.999462849530233,0.986407600719953,0.998742319822577,0.94692136159278,1,0.995418593332064,1,1,0.998298886821756,0.999126407990139,0.997392480328811,1,1,1,1,1,1,0.998924598557259,1,1,1,1,1,0.996451006139759,1,1,1,1,1,1,1,0.999439249658515,1,0.999436945953258,1,1,1,1,1,0.955976317058413,0.996571293440279,1,1,1,1
"Big91",0.973622649607169,0.939887626932766,0.978727050125236,0.960205780402816,0.978358359825232,0,0.473365808928413,0.977352535621269,0.939393938905338,0.991651263950086,0.972512293308491,0.995396894958961,0.957869851837497,0.957544234435831,0.982369515594539,0.978141652617962,0.975157739911658,0.969461353178048,0.896815067837953,0.961477930868914,0.985496487413175,0.975984720357859,0.999985829079482,0.999986946470635,0.999968861458855,0.999744348960601,0.999556802901808,0.998998931207821,0.997570037699094,0.99822605655993,0.997984177444633,0.999260352291551,0.998906651849508,0.999288782277203,0.99787240979291,0.997492817158614,0.997464775043858,0.992755257556752,0.993671404703923,0.953614865277339,0.885709895541692,0.944330621371124,0.861382091489863,0.966939861519762,0.930459726062133,0.902837179564669,0.943611762803083,0.982167657819416,0.973486545574751,0.986271948730228,0.95950742715667,0.893007412531221,0.91445629553114,0.930298216231363,0.969188505490034,0.907112700444949,0.967179505684981,0.967401210764833,0.951905323020943,0.979104758207339,0.99080083698416,0.989129968393425,0.99686808161443,0.928044939690096,0.978577452272835,0.99544336391671,0.974865050195091,0.960664143731872,0.968283374375842,0.979863181922307,0.99275095172772,0.99979884105593,0.999862617691589,0.99996462673964,0.999980898040926,0.999855965832639,0.999550035804081,0.998154414355946,0.995256707645119,0.993957953045805,0.98024080401637,0.987513238033927,0.988599028704193,0.956208797431928,0.920490702072242,0.953205186232219,0.97505018772271,0.962884074691932,0.979580341395657,0.991885964438776,0.971226930652894,0.978951544499623,0.984632630422079,0.983137772661597,0.998479458548142,0.999147384096065,0.997756813694019,0.998190890271726,0.992413695805053,0.996428677279662,0.998076702810803,0.982020172841658,0.998488712913709,0.997332727959219,0.996348531223951,0.999680807015389,0.997776049430861,0.997141000505537,0.999582212969485,0.999217932489115,0.99922922325271,0.999761758806097,0.996732418204129,0.999702028857258,0.998448065510248,0.997623064641708,0.999663837078621,0.999085001627359,0.999749765250474,0.99905365914345,0.997611563134497,0.999418033295641,0.999787094662768,0.999317067490831,0.999786198279101,0.99935699271622,0.999574233855557,0.99872892795321,0.998120882936513,0.999489605191026,0.974546011561082,0.997005188844078,0.999844565653326,0.999731489933105,0.999606302106835,0.999783176701955
"Big92",0.973220603821743,0.903874452074247,0.918594617418875,0.992718692530346,0.990177232047289,0.473365808928413,0,0.990989076632018,0.978856465322335,0.996743963848045,0.989620830189399,0.998068285613489,0.983680831957957,0.98194840087853,0.993220134463503,0.989700092848363,0.988767856547688,0.987182712256939,0.955073267955196,0.980674465602492,0.983997648007831,0.973114051355823,0.9999668668902,0.999969480092831,0.999927172188272,0.999901822485009,0.999833979354289,0.999624940486622,0.999089210756884,0.999317761426694,0.999227551973441,0.9996830031734,0.999551982168307,0.999701599273131,0.99910690745051,0.998972140726448,0.998960634408004,0.997292591759785,0.993331756722995,0.981985690167184,0.975000041368542,0.98944620413694,0.967610955795997,0.994038963740594,0.981700744840652,0.93048974241998,0.975301857165943,0.981329389935547,0.988907044766686,0.98745725233022,0.983069587147675,0.95425347332042,0.963028658342767,0.970571012526284,0.986805862910075,0.960882723692114,0.983781810900072,0.971280350001344,0.979274142649406,0.973689036641221,0.988826134460777,0.988353520494798,0.996757087064405,0.919340991374097,0.975381248794174,0.993428208264063,0.98051090578458,0.984127360083926,0.986970377347894,0.99116146623833,0.996887583723539,0.999886009891768,0.999906992194578,0.999852221040359,0.999910189419715,0.999321251046982,0.99893947918414,0.992025439115175,0.997890166074392,0.997554631355067,0.990731617869002,0.994885562544858,0.994932681009449,0.982020875518124,0.968025169021543,0.977949248955535,0.988792713317388,0.984743256390907,0.991044413185397,0.996669442465284,0.98760161888265,0.990272759735978,0.993146620552076,0.992062832460948,0.99735351670541,0.998670085784943,0.996782475258358,0.998140091009528,0.993100681611924,0.996358660387622,0.99772470538171,0.986403255906119,0.998448758975371,0.997638681303332,0.996259125764973,0.999674450567734,0.998035851629561,0.997044044219528,0.999509719323295,0.999200385232619,0.999211976875331,0.999791816519718,0.996614129819247,0.999696129401092,0.998167692710383,0.997548841931325,0.999657111670349,0.999063806737072,0.999744875831021,0.999031575917822,0.997536828575845,0.999405611312822,0.999750424444944,0.999302114255591,0.999749372473722,0.999343053762463,0.999565508250212,0.998697003817183,0.99806739086465,0.999478909994376,0.983215696599934,0.998790786256356,0.999841608586946,0.999726216763098,0.999598302414714,0.999778979471878
"Big94",0.999543737431315,0.997672981567119,0.998120516216247,0.95322030212372,0.955041188795141,0.977352535621269,0.990989076632018,0,0.478701117254459,0.413146096712902,0.180360815767144,0.621955352739512,0.501948114606116,0.821481279109819,0.317834854234264,0.393289624062657,0.257537180024405,0.272440479134296,0.978146557559834,0.987407096320577,0.998680163703622,0.99825220569931,0.999928389604487,0.999933840737308,0.999849401321225,0.996571203254686,0.96129779777682,0.914638205982231,0.807934737695881,0.853505804293604,0.838333685396245,0.940396413132374,0.894887034335135,0.930326127756439,0.805277602003312,0.774510071821593,0.772279359378201,0.457331533955917,0.998803003243276,0.953432683052648,0.967166283186278,0.952175995789432,0.980202264927729,0.953938740869953,0.951636160495079,0.98866881466752,0.985377448141897,0.997182626980263,0.913594890984911,0.995964513747828,0.931135084401546,0.971282087464713,0.981107907828953,0.944518817097448,0.981088786443823,0.982180522940454,0.693456384718489,0.992171197693166,0.964386118495246,0.996432074935691,0.997835038067189,0.998594833229949,0.998975645304263,0.995478986074698,0.998645405864269,0.999625075777387,0.988516454826932,0.921955709358115,0.910923037991767,0.723374524043799,0.530278445595222,0.998915951681921,0.999802153705146,0.99983073395272,0.999904713467735,0.999458154633806,0.998943388102401,0.998403355425469,0.612890509255399,0.581848981066105,0.742181348923653,0.350118716679032,0.327786242455967,0.61680733643038,0.945826423399426,0.757118094983461,0.949988621099132,0.98281814180606,0.926821711669306,0.827626374132662,0.949679618913836,0.980562228449178,0.915853397428172,0.987667393024396,0.998378108273321,0.999419078500407,0.997986929324631,0.99915257327412,0.99958977096575,0.998840644690996,0.999289184440023,0.992894566990511,0.999215772579264,0.999674727902867,0.998781084663324,0.999708671352847,0.999694197531452,0.999002825519605,0.999641203654979,0.999448661843054,0.999453588031382,0.999923580665752,0.99907218128002,0.999724316231903,0.999206355795091,0.999060823646763,0.99969646191258,0.999394524331239,0.999761123581322,0.99938271375502,0.999059260994981,0.999544956046705,0.999791578354932,0.999493878659204,0.999790828869762,0.999513425647483,0.999636090460278,0.999277618883854,0.999139462784626,0.999584708740358,0.984273029729721,0.997165241715752,0.999841624291738,0.99974675923302,0.99965694137615,0.999788309206227
"Big95",1,1,1,0.986591283073162,0.988844306251649,0.939393938905338,0.978856465322335,0.478701117254459,0,0.737879814862506,0.390696801239408,0.844851608569706,0.192734013996796,0.679213427627168,0.564502170576987,0.453683981081352,0.401240420392575,0.368276617603332,0.95447545736828,0.979127800784629,1,0.998947351186349,1,1,1,0.999609250652149,0.986169643923046,0.969021361347525,0.926376515853893,0.944580187317389,0.938551634991661,0.978208935703882,0.960895102034201,0.974391961619995,0.925251111747214,0.912483380109287,0.91154670824613,0.762010176697337,1,0.987051507915633,0.984651647728105,0.985806545402178,0.984440641225842,0.987100701268807,0.985378693502929,0.976048256714358,0.973578926012863,0.99639027067732,0.865880280507226,0.994334021175891,0.879500999202598,0.938761264326701,0.962406068231057,0.889617108953771,0.970311359457139,0.964513910400673,0.495116030151505,0.986974524118204,0.936143087140953,0.994758516950683,0.997859317359556,0.999677198168314,1,0.991742917160544,1,1,0.983830114009901,0.915885926436788,0.899017813739306,0.636109910281809,0.804545154859367,0.999690991721203,0.999880771553745,1,1,1,1,1,0.840493703875197,0.826131381028012,0.626745845537784,0.684828937250564,0.689176944047269,0.338774515516614,0.893008294753185,0.55647679859874,0.922938922336273,0.972799854527188,0.897446169354455,0.793528623018157,0.932122378113539,0.97211687507637,0.888655889132197,0.98347362707492,1,1,0.99927215731974,1,1,0.998594870654106,1,0.989611786425511,1,1,0.999207894724206,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.986717929333312,0.996938035076305,1,1,1,1
"Big96",1,1,1,0.999736344531589,0.999745442549666,0.991651263950086,0.996743963848045,0.413146096712902,0.737879814862506,0,0.535191898847513,0.284012100087774,0.737460790144034,0.90782489592331,0.570606049184375,0.640617459661287,0.570761240622303,0.587940138502238,0.990218760408458,0.994750282221256,1,0.999818259622123,1,1,1,0.99996176534452,0.912445565880804,0.812516712278631,0.598380136835999,0.683233368092351,0.655082615950065,0.864935687562625,0.766510146811802,0.841687611836116,0.590632036644351,0.534511651410368,0.530521522325047,0.0549300406739586,1,0.999737992528694,0.999730313246563,0.999733739366462,0.999729733635929,0.999738174368647,0.999732417381924,0.995385515863264,0.99319153189856,0.999251582208197,0.950877192973412,0.998641589661911,0.964040392995824,0.987029641724049,0.991453937743345,0.973256737353475,0.989958214961517,0.992370290038793,0.831589158555252,0.996778977377194,0.982088578160826,0.998880587007985,0.999487156563925,0.999937880620869,1,0.998591418911161,1,1,0.99702586859791,0.974652118465179,0.965933247333722,0.842958185980238,0.421589513333694,0.999968989407554,0.999974155690944,1,1,1,1,1,0.270125823679385,0.23006391009224,0.843204344753904,0.564063890377084,0.368648664044799,0.797113397790976,0.975844187163196,0.874380303308733,0.971638906728771,0.991995977365411,0.956534018138315,0.872310964461005,0.976368006247813,0.988785519312643,0.946272032196112,0.992671373375773,1,1,0.99967817516653,1,1,0.999486308838867,1,0.996567872948617,1,1,0.999757428574836,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.998780153748373,0.999834649842617,1,1,1,1
