NMDS1,NMDS2,xNMDS1,xNMDS2,Lake,Year,Fish.Status,Plot.Order
-0.1539418,-0.040744738,-0.351176671,-0.107370916,Bighorn,1966,Present,1
0.0160799,-0.106420856,0.011512667,-0.058745955,Bighorn,1968,Present,1
0.031892337,-0.118528795,0.410617622,-0.104199355,Bighorn,1971,Present,1
0.108542404,-0.02809031,0.134323082,-0.351985954,Bighorn,1972,Present,1
0.083392249,-0.036764567,0.128859187,-0.272837212,Bighorn,1977,Present,1
0.092820894,-0.025827497,0.088342205,-0.132565929,Bighorn,1991,Present,1
0.055123905,-0.004611295,0.025861597,-0.123340489,Bighorn,1992,Present,1
0.107743259,-0.028525345,0.129079932,-0.0540405,Bighorn,1994,Present,1
0.108542404,-0.02809031,0.178003092,-0.040470312,Bighorn,1995,Present,1
0.108542404,-0.02809031,0.127457834,0.196150151,Bighorn,1996,Decline,1
0.100236797,-0.029878749,0.180107208,-0.023422637,Bighorn,1997,Decline,1
0.086740126,-0.029339579,0.011995933,0.099963908,Bighorn,1998,Decline,1
0.069111111,-0.007534374,-0.011406592,0.062171877,Bighorn,1999,Decline,1
-0.028430395,0.1057391,-0.078058458,0.143364695,Bighorn,2000,Decline,1
0.048237144,0.034042588,-0.043088578,0.099918551,Bighorn,2001,Decline,1
0.031385217,0.07387082,-0.062955523,0.108211888,Bighorn,2002,Absent,1
0.080641402,-0.0151694,-0.022413642,0.089712815,Bighorn,2003,Absent,1
0.078816191,-0.006850862,-0.021905903,0.044181761,Bighorn,2004,Absent,1
-0.210257761,0.123148295,-0.137962496,0.117640088,Bighorn,2005,Absent,1
-0.219742327,0.084088703,-0.13415993,0.081383124,Bighorn,2006,Absent,1
-0.192545468,0.029163202,-0.196898502,0.079475266,Bighorn,2009,Absent,1
-0.243881478,0.103710224,-0.140530114,0.11794237,Bighorn,2013,Absent,1
-0.159048514,-0.019295943,-0.22560395,0.028862765,Bighorn,2022,Absent,1
-0.081268129,0.052561745,-0.105363357,0.078586481,Pipit,1966,Present,2
0.019867665,-0.050489606,0.017730178,-0.182314353,Pipit,1967,Present,2
0.248797293,-0.286519011,0.264811164,-0.284325224,Pipit,1968,Present,2
0.248797293,-0.286519011,0.264811164,-0.284325224,Pipit,1969,Present,2
0.273468776,-0.204494726,0.320137453,-0.243679597,Pipit,1971,Present,2
0.248797293,-0.286519011,0.264811164,-0.284325224,Pipit,1972,Present,2
0.249626219,-0.257947614,0.223789294,-0.245670632,Pipit,1977,Decline,2
-0.075654435,0.023533283,-0.07257446,0.002144321,Pipit,1991,Decline,2
-0.07924919,0.032106455,-0.098377805,0.0427529,Pipit,1992,Absent,2
-0.076892493,0.061977539,-0.051468583,0.065687908,Pipit,1993,Absent,2
-0.062180516,0.009229916,-0.061132957,0.016729243,Pipit,1994,Absent,2
-0.095482366,0.031715379,-0.086965698,-0.016635014,Pipit,1995,Absent,2
-0.042425612,0.025027322,-0.068934227,0.073516151,Pipit,1996,Absent,2
-0.055392011,0.019113499,-0.080362878,0.050947644,Pipit,1997,Absent,2
-0.044378423,0.105607577,-0.036788074,0.097039753,Pipit,1998,Absent,2
-0.050819823,0.003662603,-0.084531753,0.036395572,Pipit,1999,Absent,2
-0.076223934,0.03928085,-0.069450236,0.044858357,Pipit,2000,Absent,2
-0.050180764,0.084330654,-0.02643881,0.073894873,Pipit,2001,Absent,2
0.078999137,-0.053216372,0.014175857,0.064073896,Pipit,2002,Absent,2
-0.06525889,0.091056258,-0.044965598,0.096093204,Pipit,2003,Absent,2
-0.06018899,0.033999132,-0.05764636,0.053209549,Pipit,2004,Absent,2
-0.052076873,0.16367589,-0.019981602,0.114276769,Pipit,2005,Absent,2
-0.064153451,0.114213493,-0.031662551,0.094660135,Pipit,2006,Absent,2
-0.053624183,0.1910923,-0.036549506,0.132129057,Pipit,2007,Absent,2
-0.069169878,0.107446503,-0.077755594,0.120551735,Pipit,2008,Absent,2
-0.071033044,0.039883037,-0.087504059,0.064248702,Pipit,2009,Absent,2
-0.08055764,0.055980353,-0.101708827,0.084396166,Pipit,2013,Absent,2
-0.062143031,0.14021156,-0.070103341,0.135082851,Pipit,2022,Absent,2
-0.004653956,-0.170997091,-0.024409904,-0.208996282,Snowflake,1966,Present,3
-0.123937196,0.008369124,-0.057264222,-0.095877082,Snowflake,1967,Present,3
-0.093313977,0.030455856,-0.011373973,-0.092653999,Snowflake,1968,Present,3
-0.094030642,0.030178209,-0.020066603,-0.091489618,Snowflake,1969,Present,3
0.014979094,0.100809134,0.039780136,-0.08531649,Snowflake,1970,Present,3
0.074169399,0.101240344,0.032536718,-0.03858427,Snowflake,1971,Present,3
0.17066256,-0.03252428,0.202251788,-0.032708266,Snowflake,1972,Present,3
0.171879721,-0.03354811,0.235093079,-0.020692096,Snowflake,1973,Present,3
0.171141885,-0.032867763,0.268887399,-0.038078121,Snowflake,1974,Present,3
0.171911089,-0.033646661,0.238422925,-0.044445177,Snowflake,1975,Present,3
