Residuals,Year,Lake,Fish.Status,Plot.Order
0.208184154,1966,Bighorn,Present,1
0.047893171,1968,Bighorn,Present,1
0.378996273,1971,Bighorn,Present,1
0.324920038,1972,Bighorn,Present,1
0.240411181,1977,Bighorn,Present,1
0.106832352,1991,Bighorn,Present,1
0.122282068,1992,Bighorn,Present,1
0.033260739,1994,Bighorn,Present,1
0.070555309,1995,Bighorn,Present,1
0.225036837,1996,Bighorn,Decline,1
0.080130918,1997,Bighorn,Decline,1
0.149352222,1998,Bighorn,Decline,1
0.106499117,1999,Bighorn,Decline,1
0.062278648,2000,Bighorn,Decline,1
0.112605639,2001,Bighorn,Decline,1
0.100396634,2002,Bighorn,Absent,1
0.147039521,2003,Bighorn,Absent,1
0.11291266,2004,Bighorn,Absent,1
0.072504798,2005,Bighorn,Absent,1
0.085625152,2006,Bighorn,Absent,1
0.050500026,2009,Bighorn,Absent,1
0.104326691,2013,Bighorn,Absent,1
0.082151611,2022,Bighorn,Absent,1
0.042827981,1966,Snowflake,Present,2
0.123743916,1967,Snowflake,Present,2
0.147885769,1968,Snowflake,Present,2
0.142385881,1969,Snowflake,Present,2
0.18777071,1970,Snowflake,Present,2
0.145891065,1971,Snowflake,Present,2
0.031589763,1972,Snowflake,Present,2
0.064507408,1973,Snowflake,Present,2
0.097884286,1974,Snowflake,Present,2
0.06738273,1975,Snowflake,Present,2
0.046368384,1977,Snowflake,Present,2
0.094160019,1979,Snowflake,Decline,2
0.117386279,1991,Snowflake,Decline,2
0.037914739,1992,Snowflake,Absent,2
0.110828683,1993,Snowflake,Absent,2
0.09473203,1994,Snowflake,Absent,2
0.137959579,1995,Snowflake,Absent,2
0.121763164,1996,Snowflake,Absent,2
0.139898486,1997,Snowflake,Absent,2
0.099234739,1998,Snowflake,Absent,2
0.012661255,1999,Snowflake,Absent,2
0.083064457,2000,Snowflake,Absent,2
0.022155604,2001,Snowflake,Absent,2
0.02456624,2002,Snowflake,Absent,2
0.048561616,2003,Snowflake,Absent,2
0.009798171,2004,Snowflake,Absent,2
0.027406159,2005,Snowflake,Absent,2
0.023086385,2006,Snowflake,Absent,2
0.061171436,2007,Snowflake,Absent,2
0.071681603,2008,Snowflake,Absent,2
0.053171879,2009,Snowflake,Absent,2
0.232437901,2013,Snowflake,Absent,2
0.258224172,2022,Snowflake,Absent,2
0.035466419,1966,Pipit,Present,3
0.131842075,1967,Pipit,Present,3
0.016163439,1968,Pipit,Present,3
0.016163439,1969,Pipit,Present,3
0.060937835,1971,Pipit,Present,3
0.016163439,1972,Pipit,Present,3
0.028605436,1977,Pipit,Decline,3
0.02160958,1991,Pipit,Decline,3
0.021891795,1992,Pipit,Absent,3
0.025693229,1993,Pipit,Absent,3
0.007572139,1994,Pipit,Absent,3
0.049094746,1995,Pipit,Absent,3
0.05526186,1996,Pipit,Absent,3
0.040459326,1997,Pipit,Absent,3
0.011446441,1998,Pipit,Absent,3
0.046988737,1999,Pipit,Absent,3
0.008774484,2000,Pipit,Absent,3
0.025934262,2001,Pipit,Absent,3
0.134011435,2002,Pipit,Absent,3
0.020909053,2003,Pipit,Absent,3
0.019377953,2004,Pipit,Absent,3
0.058909927,2005,Pipit,Absent,3
0.03792087,2006,Pipit,Absent,3
0.061385736,2007,Pipit,Absent,3
0.015667216,2008,Pipit,Absent,3
0.029410541,2009,Pipit,Absent,3
0.035423595,2013,Pipit,Absent,3
0.009469434,2022,Pipit,Absent,3
0.104148923,1966,Harrison,Present,4
0.116688093,1967,Harrison,Present,4
0.088512823,1972,Harrison,Present,4
0.208134142,1977,Harrison,Present,4
0.037312331,1996,Harrison,Present,4
0.059064334,1997,Harrison,Present,4
0.114419531,1998,Harrison,Present,4
0.040003535,1999,Harrison,Present,4
0.048815819,2001,Harrison,Present,4
0.071751131,2002,Harrison,Present,4
0.119509965,2003,Harrison,Present,4
0.10325464,2004,Harrison,Present,4
0.033011327,2005,Harrison,Present,4
0.028983829,2006,Harrison,Present,4
0.058894437,2009,Harrison,Present,4
0.412568504,2015,Harrison,Present,4
0.212484082,2022,Harrison,Present,4
0.074661609,1975,Eiffel,Absent,5
0.030145342,2007,Eiffel,Absent,5
0.024543381,2008,Eiffel,Absent,5
0.022249217,2009,Eiffel,Absent,5
0.046799594,2010,Eiffel,Absent,5
0.10589505,2011,Eiffel,Absent,5
0.033777505,2012,Eiffel,Absent,5
0.046312445,2013,Eiffel,Absent,5
0.200525173,2018,Eiffel,Absent,5
0.087383002,1975,Sentinel,Absent,6
0.17386189,2007,Sentinel,Absent,6
