,Acan.vern,Alon.gutt,Chyd.spha,CYCLO,Daph.midd,Daph.pule,Diac.thom,EUCYC,HARP,Hesp.arct,Lept.tyrr,Macr.albi
Big66,0,0,0,0,0,0,0,0,0,0.13125,0,0
Big68,0,0,0,0,0,0,0.05,0,0,0.005125,0,0
Big71,0,0,0,0,0,0,0.019,0,0,0,0,0
Big72,0.2625,0,0,0,0,0,0,0,0,0,0,0
Big77,0.4375,0,0.00625,0,0,0,0.138375,0,0,0,0,0
Big91,0.00610515,0,0,0.035241452,0,0,0.000673672,0,0,0.002315747,0,0
Big92,0.001027349,0,0.000353678,0.013136598,0.000336836,0,0.001574708,0,0,0.002021015,0.001237872,0
Big94,0.093724578,0,0,3.643764003,0.001768388,0,0.003536777,0,0.000884194,0.000884194,0,0
Big95,0.01061033,0,0,1.309491504,0,0,0,0,0,0,0,0
Big96,0.001178926,0,0,8.678070638,0,0,0,0,0.001178926,0,0,0
Big97,0.049727078,0,0,2.715254065,0,0,0.246230381,0,0.001839124,0,0,0
Big98,0,0,0,12.72885867,0.311236333,0,2.520306943,0,0,0,0,0
Big99,0.018862808,0,0,1.39315311,0.196206888,0,0.341046307,0,0.001178926,0,0,0
Big00,0,0,0,0.475991172,0.773669862,0,0.397887358,0,0,0,0,0
Big01,0.006265147,0,0,2.876376129,1.040216498,0,0.799580961,0,0,0,0,0
Big02,0.00129345,0,0.000323362,2.183679923,1.179040029,0,0.112577281,0,0,0.00129345,0.000323362,0
Big03,0.001414711,0,0,2.517073319,0.1989521,0,0.338772665,0,0.001212609,0.001212609,0,0
Big04,0.019805948,0,0.000370519,2.376343297,0.248113293,0,0.198531055,0.00047157,0,0.015629184,0,0
Big05,0.000538937,0,0,0.045308166,0.602479587,0,0,0,0,0.04574231,0,0
Big06,0.005658842,0,0.000538937,0.026138463,1.335486811,0,0,0,0,0.358932291,0,0
Big09,0,0,0,0,0.13125,0,0,0,0,0.14375,0,0
Big13,0.000808406,0,0,0,0.198059485,0,0,0,0,0.016976527,0,0
Big22,0,0,0,0,1.818913635,0,0,0,0,10.9471654,0,0
Har66,0,0,0,0,0,1.28125,93.75,0,0,0,0,0.0025
Har67,0,0,0,0,0,1.1125,102.05,0,0,0,0,0.01
Har72,0,0,0,0,0,3.225,40,0,0,0,0,0
Har77,0.4375,0,0,0,0,4.5375,48,0.0125,0,0,0,0
Har96,0.100601643,0,0,133.7471336,0,6.786681154,48.9132262,0,0,0,0,0.031438013
Har97,0.100601643,0,0,75.70902399,0,1.367553585,6.727734878,0,0,0,0,0.001571901
Har98,0.029342146,0,0,25.68564294,0,4.193307027,4.628199547,0.000104793,0,0,0,0.004191735
Har99,0.005030082,0,0,37.61145917,0,2.749180304,5.752916053,0,0,0,0,0
Har01,0.021770824,0,0.006287603,34.02756262,0,3.810719503,3.753934591,0.003143801,0,0,0,0.022694316
Har02,0.034851283,0,0,109.4812201,0,2.131250299,8.073349221,0,0,0.099029742,0.010060164,0.010060164
Har03,0,0,0,60.49908853,0,2.766096069,2.384797877,0.001167698,0,0,0,0.002021015
Har04,0,0,0.001320397,93.64993477,0,3.551031407,3.74574948,0.003772562,0,0,0,0
Har05,0,0,0.000707355,27.97721214,0,2.661489822,3.0748866,0.000353678,0,0,0,0.002331653
Har06,0,0,0,21.744102,0,6.649139845,0.212206591,0,0,0,0,0
Har09,0,0,0,24.18589251,0,3.542435356,0.5602254,0,0,0,0,0
Har15,0,0,0,8.943759,0,0.466392,0,0.274348,0,0,0,0
Har22,0,0,0.062876027,48.41454071,0,23.92432824,0,0,0,0,0,0
Pip66,0,0,0,0,0.0625,0,0,0,0,0.625,0,0
Pip67,0.103125,0,0,0,0,0,0,0,0,0.215625,0,0
Pip68,0.0625,0,0,0,0,0,0,0,0,0,0,0
Pip69,0.175,0,0,0,0,0,0,0,0,0,0,0
Pip71,0.0375,0.00625,0,0,0,0,0,0,0,0,0,0
Pip72,0.325,0,0,0,0,0,0,0,0,0,0,0
Pip77,0.125,0,0.00625,0,0,0,0,0,0,0,0,0
Pip91,0,0,0.00049639,0.021034513,0.006949456,0,0,0,0,0.407825493,0,0
Pip92,0,0,0,0.033754499,0.041200344,0,0,0,0,1.160062696,0,0
Pip93,0.000992779,0,0,0.002481948,0.076444012,0,0,0,0,0.525180288,0,0
Pip94,0.002258573,0,0,0.284704304,0.045121822,0,0,0,0,2.627018316,0,0
Pip95,0.002095868,0,0,0.005685918,0.008233049,0,0,0,0,1.41072946,0,0
Pip96,0,0,0,0.188628081,0.149760768,0,0,0,0,1.472291809,0,0
Pip97,0,0,0,0.060559542,0.026308653,0,0,0,0,0.570848139,0,0
Pip98,0.00049639,0,0,0.040207565,0.222878969,0,0,0,0,0.581768712,0,0
Pip99,0,0,0,0.129888635,0.024819484,0,0,0,0,0.878609744,0,0
Pip00,0.000744585,0,0,0.055099255,0.131791462,0,0,0,0,2.254229662,0,0
Pip01,0.002978338,0,0,0.035083071,0.163983793,0,0,0,0,0.622998255,0,0
Pip02,0.001300285,0,0,0.928871937,0.13099076,0,0.051725357,0,0,1.248794178,0.002912639,0
Pip03,0,0,0,0.015748206,0.241066947,0,0.000554788,0,0,0.840590512,0,0
Pip04,0.000764375,0,0,0.090849695,0.109207029,0,0,0,0,1.348431876,0,0
Pip05,0,0,0.000832183,0.005238371,0.301644332,0,0,0,0,0.368017473,0.002978338,0
Pip06,0,0,0.001489169,0.002481948,0.286416849,0,0,0,0,0.707851692,0.00049639,0
