,Acan.vern,Alon.gutt,Chyd.spha,CYCLO,Daph.midd,Daph.pule,Diac.thom,EUCYC,HARP,Hesp.arct,Lept.tyrr,Macr.albi
Big91*,0.00610515,0,0,0.035241452,0,0,0.000673672,0,0,0.002315747,0,0
Big92,0.001027349,0,0.000353678,0.013136598,0.000336836,0,0.001574708,0,0,0.002021015,0.001237872,0
Big94,0.093724578,0,0,3.643764003,0.001768388,0,0.003536777,0,0.000884194,0.000884194,0,0
Big95,0.01061033,0,0,1.309491504,0,0,0,0,0,0,0,0
Big96,0.001178926,0,0,8.678070638,0,0,0,0,0.001178926,0,0,0
Big97,0.049727078,0,0,2.715254065,0,0,0.246230381,0,0.001839124,0,0,0
Big98,0,0,0,12.72885867,0.311236333,0,2.520306943,0,0,0,0,0
Big99,0.018862808,0,0,1.39315311,0.196206888,0,0.341046307,0,0.001178926,0,0,0
Big00,0,0,0,0.475991172,0.773669862,0,0.397887358,0,0,0,0,0
Big01,0.006265147,0,0,2.876376129,1.040216498,0,0.799580961,0,0,0,0,0
Big02*,0.00129345,0,0.000323362,2.183679923,1.179040029,0,0.112577281,0,0,0.00129345,0.000323362,0
Har96*,0.100601643,0,0,133.7471336,0,6.786681154,48.9132262,0,0,0,0,0.031438013
Har97,0.100601643,0,0,75.70902399,0,1.367553585,6.727734878,0,0,0,0,0.001571901
Har98,0.029342146,0,0,25.68564294,0,4.193307027,4.628199547,0.000104793,0,0,0,0.004191735
Har99,0.005030082,0,0,37.61145917,0,2.749180304,5.752916053,0,0,0,0,0
Har01,0.021770824,0,0.006287603,34.02756262,0,3.810719503,3.753934591,0.003143801,0,0,0,0.022694316
Har02*,0.034851283,0,0,109.4812201,0,2.131250299,8.073349221,0,0,0.099029742,0.010060164,0.010060164
Pip91*,0,0,0.00049639,0.021034513,0.006949456,0,0,0,0,0.407825493,0,0
Pip92,0,0,0,0.033754499,0.041200344,0,0,0,0,1.160062696,0,0
Pip93,0.000992779,0,0,0.002481948,0.076444012,0,0,0,0,0.525180288,0,0
Pip94,0.002258573,0,0,0.284704304,0.045121822,0,0,0,0,2.627018316,0,0
Pip95,0.002095868,0,0,0.005685918,0.008233049,0,0,0,0,1.41072946,0,0
Pip96,0,0,0,0.188628081,0.149760768,0,0,0,0,1.472291809,0,0
Pip97,0,0,0,0.060559542,0.026308653,0,0,0,0,0.570848139,0,0
Pip98,0.00049639,0,0,0.040207565,0.222878969,0,0,0,0,0.581768712,0,0
Pip99,0,0,0,0.129888635,0.024819484,0,0,0,0,0.878609744,0,0
Pip00,0.000744585,0,0,0.055099255,0.131791462,0,0,0,0,2.254229662,0,0
Pip01,0.002978338,0,0,0.035083071,0.163983793,0,0,0,0,0.622998255,0,0
Pip02*,0.001300285,0,0,0.928871937,0.13099076,0,0.051725357,0,0,1.248794178,0.002912639,0
Sno91*,0,0,0,9.155675386,0,2.239863113,3.695133093,0,0,0,0.008534599,0
Sno92,0.034416552,0,0,10.03158664,0,0.48161461,3.315722712,0,0,0,0.001607626,0
Sno93,0.001905316,0,0,0.994365678,0,0.47179235,2.544750394,0,0,0.004429989,0.000952658,0
Sno94,0.074593849,0,0,3.429066394,0.067134464,0.381393207,3.088024601,0,0,0.016735387,0,0
Sno95,0.002625,0,0,4.9875,0.048,0.083375,1.90725,0,0,0.094,0,0
Sno96,0.013182531,0,0,1.0801637,0.100798131,0,0.00064305,0,0,0.78355676,0.000803813,0
Sno97,0.010931855,0,0,0.1163921,0.038583017,0,0,0,0,0.88740938,0.00064305,0
Sno98,0.00064305,0,0.00064305,0.644336376,0.176838826,0,0,0,0,0.744652219,0.021220659,0
Sno99,0,0.004287002,0,0.165156746,0.149509189,0,0,0,0,1.847697791,0.799633017,0
Sno00,0.006549586,0,0,0.042798568,0.088562313,0,0,0,0,1.886923857,0.283585171,0
Sno01,0.007202163,0,0,0.28088436,0.227211097,0,0.011317685,0,0,1.857643635,1.913889099,0
Sno02*,0.007449094,0,0,1.240532579,0.295932308,0,0.000205776,0,0,4.904609039,4.319834552,0
